,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
BW_2__TRB.csv,0.1228738299063925,0.07587807024561966,0.03171453716297304,0.025554044323545883,0.07826226098087848,0.031106488519081526,0.24366749339947197,0.031570525642051366,0.09874389951196096,0.012416993359468758,0.07470997679814385,0.012609008720697656,0.16089287142971437
BW_4__TRB.csv,0.1653367545973235,0.08028496625674082,0.02127859310949088,0.020777920330444035,0.08202689030050797,0.017252349511322505,0.19659751123906083,0.025909816315674187,0.14415203763390388,0.008886941828081484,0.056325687642769975,0.008918233876771913,0.17225229735790804
BW_9__TRB.csv,0.07769960232486998,0.07861731416335271,0.021336800244723158,0.0292903028449067,0.07456408687672071,0.023401651881309268,0.1821657999388192,0.04879167941266442,0.11004894463138575,0.022407464056286325,0.06462220862649128,0.01598348118690731,0.2510706638115632
BW_8__TRB.csv,0.0548514501296864,0.03460268804527234,0.00427375618957793,0.006572742277764678,0.21009195944352746,0.00854751237915586,0.18197359113416647,0.03304055647253006,0.06776114124027352,0.008400141476066965,0.15580051874557888,0.00975595378448479,0.22432798868191464
BW_5__TRB.csv,0.11555652119932956,0.07895172470875494,0.013584538663686967,0.015095081424462515,0.06836757920003311,0.015612390589111676,0.2704595774618743,0.027696732675316076,0.12368862126761437,0.015053696691290582,0.06786061621867694,0.06355660396879591,0.12451631593105303
BW_6__TRB.csv,0.08732121733519733,0.08111983367387174,0.024590457755314193,0.03484245617808367,0.06466645158977667,0.025235688425278704,0.17553858837867872,0.05749722192350432,0.1052801376492096,0.023586765602036062,0.07165645051439223,0.015306305337491487,0.23335842563716527
BW_7__TRB.csv,0.10120326600773528,0.0862913622690159,0.027159432746024923,0.020154705629565964,0.07086377309840997,0.031585732703051136,0.19875376020627417,0.06867211001289214,0.09204984959174903,0.015040825096691019,0.07593467984529437,0.013407821229050279,0.19888268156424582
BW_16__TRB.csv,0.10112622985137115,0.09101109482939083,0.013506384760309818,0.02340380992254553,0.06600795478333682,0.032405275277370735,0.1702826041448608,0.087854301863094,0.12870839438978438,0.01122880468913544,0.10929872304793804,0.012158258321122044,0.15300816411974041
BW_11__TRB.csv,0.09991612343099313,0.07194255190782406,0.015038921671056698,0.029548096590491044,0.07114793178039054,0.019453477934576278,0.19203319746310166,0.03527230454552143,0.14663684388657533,0.014008858542902129,0.12596200538575864,0.03141692540871433,0.14762276145209471
BW_12__TRB.csv,0.0969084925033053,0.06768826127317223,0.01316492728346789,0.026034487608652845,0.1266420996371206,0.0242833834988326,0.14373822048440182,0.14939942051815805,0.09090269768488565,0.011828743424568905,0.07649300964865396,0.01074573124419815,0.162170525190582
BW_13__TRB.csv,0.07470876245146041,0.052152625358770896,0.007394901232483539,0.02069897011649502,0.13957453992909,0.033513422252237045,0.20006753334458888,0.043407057234509536,0.09405706567617761,0.013371602228600371,0.09429343238223874,0.02134053689008948,0.20541955090325847
BW_14__TRB.csv,0.0877217199254607,0.07101939402305198,0.012561253364621437,0.021809648699013043,0.048864655945889984,0.01608116502174063,0.18986817585754712,0.0644626958382221,0.15660155980398924,0.01822071916626406,0.08979225619435434,0.014769825384774657,0.20822693077507073
BW_15__TRB.csv,0.06188720833016645,0.05248156874667478,0.007030478072508931,0.01629360796534164,0.16300258417572394,0.040453750855058146,0.19994109599452764,0.026810823135973248,0.08433723493197537,0.008769096298548301,0.1003173215778673,0.01365242836512883,0.22502280155050544
BF__TRB.csv,0.1462026991267531,0.09632177824821381,0.015480285789891506,0.02712357766604922,0.09566022757343212,0.028578989150568935,0.21024080444562054,0.026329716856311195,0.06906589044720826,0.012701772955808415,0.04432389521037312,0.016009526329716858,0.21196083620005293
BW_10__TRB.csv,0.09331924278625253,0.0641150523800772,0.030628560926300313,0.037143907369968754,0.06746002573056424,0.022431538320161735,0.16528211725785702,0.06889358573791582,0.1180205844513876,0.022210990626723028,0.08542547325859218,0.013958831097224775,0.21111009005697481
iRNormal_088_R__TRB.csv,0.11506352087114338,0.0815706979046362,0.014552054116482428,0.038079524830885995,0.07799043062200957,0.0124236924599901,0.20018148820326678,0.02357696749711269,0.17320574162679425,0.0109717868338558,0.06510476819006765,0.015393499422537534,0.1718858274212176
LFJ__TRB.csv,0.12754657552606888,0.08809140865835678,0.019032301300093823,0.03509918241522584,0.10451011928695886,0.031095027476209625,0.16693472724835812,0.03042487602198097,0.112417906446857,0.009851226377161239,0.08345060983782335,0.015614528883527677,0.17593151052137784
SS03F_W_1_HJ__TRB.csv,0.10431087983959517,0.1007304148565427,0.016183701723397146,0.02005060390509381,0.10139876832004582,0.02238984102735475,0.1692366448656132,0.01890485511051702,0.13791951114718098,0.013701246001814103,0.06502124409223278,0.014130901799780398,0.2160213873108321
WDM__TRB.csv,0.09488817891373802,0.083024494142705,0.01571884984025559,0.02174653887113951,0.08345047923322683,0.018700745473908414,0.2035569755058573,0.04238551650692226,0.12462193823216187,0.009584664536741214,0.07077742279020234,0.013056443024494142,0.2184877529286475
WGF__TRB.csv,0.1682659205109799,0.12915134557067726,0.020597412871185595,0.0349540733361656,0.0969660567527578,0.02408403041268074,0.16426656509573548,0.02427447590864476,0.10046732394778864,0.009507625144665329,0.0553170917507801,0.015982772007442025,0.15616530669049677
WJW__TRB.csv,0.09291828793774319,0.05945525291828794,0.011050583657587548,0.018365758754863813,0.09618677042801556,0.02614785992217899,0.28077821011673154,0.021011673151750974,0.1466147859922179,0.0073151750972762645,0.07517509727626459,0.006536964980544747,0.15844357976653697
HL_W_XQF1225__TRB.csv,0.12204828640482351,0.08105522960381918,0.01638014228006798,0.023442904358074352,0.08316466398503754,0.014911224411365324,0.2114302306713467,0.03636425747055759,0.1431767910976745,0.009932276054076674,0.06415413389357177,0.012750548709145722,0.18118931106043915
JGR__TRB.csv,0.08194938486983709,0.06686000407821102,0.015859709540748126,0.031243627795273808,0.07861884586627998,0.018442576523098535,0.2189772753019009,0.03663592903912817,0.11844937354147314,0.01685660556902372,0.08226657906065206,0.018238665971860343,0.21560142284251307
