,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ15,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ51,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ60,TRAJ61,TRAJ7,TRAJ8,TRAJ9
GH03_W_LXZ1225__TRA.csv,1.1372036163074999e-05,0.02591687041564792,0.015170296241542048,0.010541877523170524,0.027884232671859896,1.1372036163074999e-05,0.022414283277420823,0.014431113890942173,0.01802467731847387,0.008369818616023199,,,0.0346164780804003,0.019321089441064424,0.023085233411042246,0.021242963552624096,0.006709501336214249,2.2744072326149997e-05,0.014351509637800648,0.01826349007789845,0.014624438505714448,0.024131460738045146,0.024950247341786545,0.024313413316654348,0.0036504236083470744,0.013589583214874624,0.028316370046056746,0.028191277648262923,0.007073406493432649,0.013771535793483823,0.02655370444078012,0.00821061010974015,0.02318758173650992,0.015682037868880422,0.024802410871666573,0.009768579064081424,0.03339967021095127,0.0216068687098425,0.023085233411042246,0.02077671006993802,0.0009325069653721499,0.013362142491613124,0.03562858929891397,0.030681753567976346,0.01984420310456587,0.0071530107465741745,1.1372036163074999e-05,0.03526468414169557,0.030363336555410247,0.021015522829362598,0.014146812986865298,0.015386364928640473,0.013350770455450049,,0.03278558025814522,1.1372036163074999e-05,9.097628930459999e-05,0.008131005856598624,0.018559163018138397,0.03320634559617899
GH03_W_ZXM1225__TRA.csv,,0.022822404963673482,0.012774159699807247,0.007618873820956465,0.024647284920788805,1.1405499731970757e-05,0.02065536001459904,0.011565176728218347,0.019971030030680795,0.009546403275659523,,1.1405499731970757e-05,0.03209507624576571,0.016788895605460954,0.02251445647091027,0.01928670004676255,0.004288467899221005,0.0001026494975877368,0.01630986461671818,0.021191418502001666,0.022731160965817718,0.02128266249985743,0.020666765514331012,0.02140812299690911,0.003889275408602028,0.014291091164159357,0.034638502685995186,0.026574814375491862,0.007687306819348289,0.015728184130387672,0.03843653409674145,0.011667826225806083,0.026301082381924565,0.010321977257433534,0.03617824514981124,0.01042462675502127,0.03655462664096627,0.024464796925077272,0.02545707540175873,0.02323300295402443,0.0011519554729290465,0.011702042725001995,0.04194942801418844,0.029072618816793457,0.014849960651025925,0.006717839342130776,,0.03159323425755899,0.02883310332242207,0.02021054552505218,0.012203884713208709,0.014804338652098042,0.01594488862529512,,0.0242594979299018,3.421649919591227e-05,7.98384981237953e-05,0.006455512848295448,0.017119655097688105,0.028878725321349955
BW_1__TRA.csv,,0.03128098095486564,0.021445343073310724,0.009992173232454996,0.022984607357161492,2.6089225150013044e-05,0.01627967649360814,0.010331333159405166,0.01995825723975998,0.0072006261414036005,,2.6089225150013044e-05,0.05270023480302635,0.015027393686407514,0.0186016175319593,0.01964518653795982,0.006652752413253326,0.00015653535090007827,0.015027393686407514,0.014531698408557265,0.017192799373858595,0.026402295851813203,0.015523088964257761,0.017740673102008872,0.0036003130707018003,0.013462040177406731,0.019775632663709887,0.022515001304461258,0.006861466214453431,0.013435950952256718,0.03357683276806679,0.009809548656404904,0.0234020349595617,0.015444821288807722,0.02554135142186277,0.007722410644403861,0.03428124184711714,0.018132011479259066,0.015627445864857814,0.01831463605530916,0.0006783198539003391,0.008896425776154447,0.029011218366814504,0.02363683798591182,0.0949908687711975,0.007304983042003652,5.217845030002609e-05,0.026871901904513436,0.02958518132011479,0.01575789199060788,0.00952256717975476,0.014270806157057135,0.013305504826506652,,0.029037307591964517,7.826767545003914e-05,5.217845030002609e-05,0.005870075658752935,0.017662405426558832,0.03318549439081659
BW_2__TRA.csv,,0.02231659588641852,0.012032642185027895,0.006828212174202681,0.023898742609709384,,0.016570905154467484,0.01165792322424848,0.016695811474727287,0.010034141060871013,,,0.028478641019235574,0.017861603797152136,0.021525522524773088,0.01894412523940378,0.005704055291864435,4.163544008660171e-05,0.01602964443334166,0.01432259138979099,0.016154550753601466,0.027271213256724124,0.013323340827712549,0.022150054126072113,0.003663918727620951,0.013614788908318761,0.026355233574818886,0.02377383628944958,0.008327088017320343,0.02060954284286785,0.03980348072279124,0.010991756182862853,0.028478641019235574,0.008868348738446165,0.029269714380881006,0.008701806978099759,0.03813806311932717,0.017611791156632525,0.032017653426596716,0.027229577816637523,0.0005412607211258223,0.01119993338329586,0.03476559247231243,0.03076859022399867,0.013781330668665168,0.006828212174202681,,0.03497376967274544,0.03755516695811475,0.03355816470980098,0.021900241485552502,0.01644599883420768,0.0169872595553335,,0.031226580064951288,,4.163544008660171e-05,0.006245316012990257,0.014280955949704388,0.02960279790157382
BW_4__TRA.csv,,0.026252682064874418,0.01133409062223905,0.006891329042029534,0.029256594724220625,,0.017341915940931464,0.010147671336614919,0.011056418023475956,0.008961252050990786,,,0.03039252808279692,0.01575160923892465,0.021936135302284488,0.019916698220371072,0.008456392780512433,2.524296352391771e-05,0.021683705667045312,0.020522529344945098,0.017442887795027135,0.024485674618200177,0.025268206487441627,0.024914804998106777,0.002852454878202701,0.014691404770920105,0.025722579830872144,0.03127603180613404,0.0061592830998359206,0.014388489208633094,0.029912911775842484,0.008506878707560268,0.022642938280954185,0.017594345576170643,0.030543985863940425,0.007345702385460053,0.03622365265682191,0.012596238798434935,0.02688375615297236,0.027161428751735453,0.0009087466868610374,0.01188943581976524,0.03256342294585384,0.027615802095165974,0.020320585636753756,0.007017543859649123,,0.04460431654676259,0.03433043039252808,0.019033194497033952,0.012242837309100089,0.015776852202448566,0.01663511296226177,,0.030241070301653412,5.048592704783542e-05,5.048592704783542e-05,0.010980689132904203,0.02059825823551685,0.028600277672598762
BW_CT0530__TRA.csv,,0.02916635900465185,0.014250904526323561,0.010952767727485293,0.024834477836028452,,0.02926481084939329,0.012552610204533708,0.020748726279258656,0.01043589554259273,,4.922592237072042e-05,0.032390656919934036,0.01668758768367422,0.021930148416155947,0.02321002239779468,0.009475990056363681,7.383888355608063e-05,0.01759826724753255,0.02099485589111226,0.019542691181176006,0.024219153806394448,0.01976420783184425,0.02212705210563883,0.0037657830613601123,0.014620098944103965,0.026655836963745107,0.026311255507150064,0.008737601220802875,0.015653843313889092,0.032661399492972996,0.00932831228925152,0.03056929779221738,0.019468852297619927,0.027886485023013118,0.009722119668217283,0.03487656599965542,0.020502596667405056,0.019468852297619927,0.025942061089369663,0.00118142213689729,0.014127839720396761,0.02818184055723744,0.03463043638780182,0.02116714661940978,0.006916242093086219,,0.028329518324349604,0.02569593147751606,0.019296561569322405,0.00930369932806616,0.015309261857294051,0.0116911565630461,,0.025105220409067416,2.461296118536021e-05,2.461296118536021e-05,0.008614536414876073,0.019493465258805288,0.024465283418248048
BW_17__TRA.csv,,0.019122656690839936,0.013876988024828105,0.013396309222763277,0.025873058998098185,,0.019958619824865725,0.010136053000062697,0.008526823967063052,0.01116010783924429,,2.0899078350644736e-05,0.02925870969090263,0.017011849777424815,0.019164454847541222,0.024347426278501116,0.011557190327906539,6.269723505193421e-05,0.016698363602165145,0.021505151622813433,0.015319024431022591,0.022550105540345672,0.016301281113502895,0.030324562686785513,0.0035110451629083157,0.014901042864009697,0.023762252084683067,0.03375201153629125,0.010407741018621079,0.0164893728186587,0.03529854333423896,0.010073355765010762,0.02687621475892913,0.025517774666137222,0.03070074609709712,0.010261447470166565,0.03580012121465443,0.02827645300842233,0.019331647474346382,0.029446801396058434,0.00048067880206482895,0.014127776965035843,0.028171957616669106,0.043177495872432026,0.013605300006269723,0.007858053459842421,,0.03295784655896675,0.026500031348617527,0.02422203180839725,0.010554034567075592,0.016071391251645802,0.011097410604192354,,0.023950343789838867,,4.179815670128947e-05,0.007962548851595645,0.014462162218646157,0.02418023365169596
BW_9__TRA.csv,,0.02434811219873324,0.01628691288969318,0.009624084889364152,0.02780291190260755,,0.04894299580488607,0.012338570370979683,0.023936826519700583,0.012503084642592746,,,0.02294974089002221,0.018014312741630338,0.01891914123550218,0.02484165501357243,0.005099942420004935,0.00041128567903265606,0.021962655260343834,0.025499712100024677,0.03232705437196677,0.019823969729374023,0.017438512790984618,0.01694496997614543,0.0035370568396808424,0.015464341531627868,0.03989471086616764,0.027967426174220614,0.009130542074524964,0.01620465575388665,0.027638397630994488,0.006416056592909435,0.021880398124537303,0.015875627210660524,0.017109484247758492,0.007074113679361685,0.024019083655507114,0.012338570370979683,0.01834334128485646,0.024183597927120177,0.0002467714074195936,0.011186970469688246,0.027391626223574893,0.037591511063584764,0.019083655507115244,0.021057826766471992,,0.022127169531956897,0.042362424940363574,0.01702722711195196,0.005922513778070248,0.013325656000658057,0.010611170519042527,,0.02706259768034877,,,0.011351484741301307,0.023278769433248334,0.023278769433248334
BW_5__TRA.csv,,0.022892238972640984,0.011881630374092686,0.007772194304857621,0.02262423227247348,,0.02592964824120603,0.010273590173087661,0.019229480737018426,0.007615857063093244,,,0.035019542155220545,0.020234505862646565,0.02409826912339475,0.018313791178112788,0.0069458403126744835,0.00011166945840312674,0.011434952540480178,0.01574539363484087,0.022155220547180346,0.021820212171970967,0.013802345058626465,0.01887213847012842,0.0031714126186487995,0.01407035175879397,0.02608598548297041,0.023852596314907874,0.008107202680067002,0.017018425460636515,0.03803461753210497,0.010921273031825796,0.02036850921273032,0.01590173087660525,0.029324399776661084,0.010988274706867671,0.035510887772194306,0.01661641541038526,0.024120603015075376,0.023227247347850363,0.00096035734226689,0.010496929089893914,0.03988833054159687,0.03202680067001675,0.01983249581239531,0.011948632049134562,,0.04973757677275265,0.03097710776102736,0.03111111111111111,0.011055276381909548,0.01402568397543272,0.015231714126186489,,0.026286990508096037,2.2333891680625348e-05,0.00015633724176437744,0.007794528196538247,0.01800111669458403,0.02635399218313791
BW_6__TRA.csv,,0.02539228396441504,0.016406634181232956,0.00952210648665564,0.03017568957038759,,0.04747641825740981,0.011578523849970941,0.019670079127363762,0.012383208905181277,,,0.02753811077830927,0.016853681434127587,0.022575886271178864,0.022486476820599937,0.0061692520899459076,8.940945057892619e-05,0.022710000447047254,0.022620590996468327,0.034646162099333896,0.018641870445706112,0.020295945281416247,0.01837364209396933,0.003397559121999195,0.018686575170995576,0.03451204792346551,0.028521614734677455,0.008180964727971746,0.014126693191470339,0.026912244624256784,0.007108051321024632,0.024811122535652017,0.01314318923510215,0.020877106710179266,0.006884527694577317,0.029058071438151013,0.013456122312128392,0.018865394072153426,0.019446555500916448,0.0007152756046314095,0.009253878134918861,0.026822835173677857,0.031338012427913634,0.01891009879744289,0.01846305154454826,,0.02409584693102061,0.04474943001475256,0.017166614511153828,0.007689212749787653,0.014931378246680675,0.011667933300549868,,0.02718047297599356,,4.4704725289463095e-05,0.009566811211945102,0.016943090884706514,0.02686753989896732
