,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
GH03_W_HNY1228__TRG.csv,,,0.00011732957878681215,,,0.07028041769330048,0.0016426141030153702,0.003871876099964801,0.03050569048457116,0.13950486917751964,0.00035198873636043646,0.0002346591575736243,0.06359263170245219,0.08330400093863663,0.0005866478939340608,0.004810512730259299,0.004106535257538425,0.06277132465094451,0.00011732957878681215,0.0021119324181626186,0.0004693183151472486,0.0004693183151472486,0.00011732957878681215,0.00035198873636043646,,,0.0665258711721225,0.00011732957878681215,0.0032852282060307405,0.0005866478939340608,0.06711251906605656,0.00035198873636043646,0.003754546521177989,0.0024639211545230554,0.20333216003754548,0.1796315851226094,0.0028159098908834917,0.0007039774727208729
GH03_W_LXZ1225__TRG.csv,,,6.232859636000998e-05,,,0.11512091747693842,0.00031164298180004984,0.006108202443280977,0.04693343305908751,0.0643854400398903,,0.0028671154325604587,0.0031164298180004985,0.11106955871353777,0.028982797307404638,0.0052979306906008475,0.1831214161057093,0.04394166043380703,6.232859636000998e-05,0.0009349289454001496,0.0002493143854400399,0.0005609573672400897,6.232859636000998e-05,,,,0.01726502119172276,,0.0004363001745200698,,0.02162802293692346,0.0007479431563201197,0.005484916479680878,0.004674644727000748,0.20007479431563202,0.13113936674146098,0.004923959112440788,0.0004363001745200698
BW_17__TRG.csv,,,,,,0.2393410113645031,0.00022881549843642744,0.012127221417130653,0.07901761879337961,0.058500495766913276,7.627183281214248e-05,0.00015254366562428496,0.029974830295171992,0.1039585081229502,,0.0008389901609335672,0.0011440774921821371,0.025932423156128443,,0.0003050873312485699,0.01510182289680421,7.627183281214248e-05,,,,,0.011898405918694226,,7.627183281214248e-05,0.004500038135916406,0.07154297917778964,,0.0008389901609335672,0.001754252154679277,0.050720768820074744,0.2915872168408207,0.00015254366562428496,0.00015254366562428496
BW_1__TRG.csv,,,,,,0.05946080346677086,0.00010656057968955352,0.008702447341313537,0.04827194259936774,0.11870848577416261,0.003161297197456754,0.0003552019322985117,0.04006677796327212,0.1361844208432494,,0.007317159805349341,0.16293112634532733,0.13046566973324336,0.00010656057968955352,0.00042624231875821407,0.0007459240578268746,0.00021312115937910703,,7.104038645970234e-05,,,0.01847050047952261,,0.0014208077291940468,0.0001420807729194047,0.04006677796327212,,0.0009945654104358329,0.0007104038645970234,0.08933328597307569,0.1286186196852911,0.0025574539125492843,0.00039072212552836285
BW_2__TRG.csv,,,,,0.0002242822966507177,0.17194976076555024,7.476076555023923e-05,0.0014952153110047847,0.035660885167464115,0.1347188995215311,,0.0006728468899521532,0.0010466507177033493,0.4119318181818182,,0.00388755980861244,0.0011214114832535885,0.02242822966507177,,0.00014952153110047846,0.0002242822966507177,0.00014952153110047846,,,,,0.01659688995215311,,,0.00014952153110047846,0.13748504784688995,,0.0007476076555023923,0.0006728468899521532,0.03147428229665072,0.023773923444976076,0.003289473684210526,7.476076555023923e-05
BW_4__TRG.csv,,,6.969126768415918e-05,,,0.18614537598438916,0.0002090738030524775,0.003902710990312914,0.06160708063279671,0.0455780890654401,,0.008223569586730782,0.01937417241619625,0.2782772318628476,0.0002090738030524775,0.005435918879364416,0.007387274374520873,0.11443306153738937,0.00013938253536831835,0.0007666039445257509,0.0007666039445257509,0.00013938253536831835,,,,,0.023904104815666596,,0.00048783887378911424,0.000418147606104955,0.09701024461634958,,0.0010453690152623877,0.0038330197226287546,0.07930866262457315,0.05352289358143424,0.007317583106836713,0.00048783887378911424
BW_16__TRG.csv,,,,,,0.1375097352024922,0.0002920560747663551,0.013288551401869159,0.14495716510903428,0.041666666666666664,0.00019470404984423675,0.0022877725856697818,0.03417056074766355,0.15931658878504673,4.867601246105919e-05,0.0017523364485981308,0.017620716510903425,0.029302959501557632,,0.0023851246105919,0.0003407320872274143,9.735202492211838e-05,,4.867601246105919e-05,,,0.021125389408099687,4.867601246105919e-05,0.008664330218068535,0.012801791277258567,0.0264797507788162,0.0003894080996884735,0.005013629283489096,0.0625,0.07846573208722742,0.1734326323987539,0.011487538940809968,0.014310747663551402
BW_8__TRG.csv,,,0.00023573785950023574,,,0.1595945308816596,0.0011786892975011788,0.015558698727015558,0.05704856199905705,0.11716171617161716,,0.027817067421027818,0.0011786892975011788,0.10419613389910419,,0.01485148514851485,0.0016501650165016502,0.0685997171145686,,0.0004714757190004715,,,,,,,0.0231023102310231,,0.00023573785950023574,,0.16148043375766147,0.0007072135785007072,0.0033003300330033004,0.0014144271570014145,0.23008015087223008,0.00825082508250825,0.0011786892975011788,0.0007072135785007072
BW_9__TRG.csv,,,,,,0.3074924209614552,,0.01039411000433088,0.0259852750108272,0.08748375920311824,0.0008661758336942399,0.0017323516673884798,0.0030316154179298397,0.1325249025552187,,0.00129926375054136,0.0008661758336942399,0.0519705500216544,,0.00563014291901256,0.0064963187527068,,0.0008661758336942399,,,,0.09657860545690775,,,,0.07405803378085751,,0.0008661758336942399,0.0034647033347769596,0.13339107838891295,0.05283672585534863,0.0021654395842356,
BW_5__TRG.csv,,,,,6.43459236857345e-05,0.15179203397464772,0.0012225725500289557,0.15912746927482144,0.03828582459301203,0.03127211891126697,6.43459236857345e-05,0.000257383694742938,0.0014156103210861593,0.11884692104755164,0.00019303777105720353,0.006498938292259186,0.019175085258348882,0.1678141689723956,6.43459236857345e-05,0.0006434592368573451,0.0007721510842288141,0.00032172961842867257,,0.00019303777105720353,,,0.06196512450936233,,0.000128691847371469,0.000257383694742938,0.05469403513287433,0.000128691847371469,0.0010938807026574866,0.010617077408146195,0.11614439225275079,0.056495720996074895,0.00019303777105720353,0.000257383694742938
BW_6__TRG.csv,,,,,,0.27042079207920794,0.0003094059405940594,0.008972772277227722,0.03527227722772277,0.09003712871287128,0.0012376237623762376,,0.001547029702970297,0.11695544554455446,,0.0009282178217821782,0.0009282178217821782,0.04981435643564357,,0.0027846534653465345,0.006497524752475247,,,,,,0.12221534653465346,,,0.0003094059405940594,0.08694306930693069,,0.0003094059405940594,0.007116336633663367,0.12159653465346534,0.06992574257425743,0.004641089108910891,0.0012376237623762376
BW_7__TRG.csv,,,,,,0.09963768115942029,,0.006521739130434782,0.09855072463768116,0.06521739130434782,,,0.01920289855072464,0.1721014492753623,,,,0.012318840579710146,,0.00036231884057971015,,,,,,,0.013405797101449275,,,,0.025362318840579712,,,0.008333333333333333,0.24891304347826088,0.09528985507246376,0.002536231884057971,0.1322463768115942
