,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-35,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-37,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV2-10,IGKV2-18,IGKV2-19,IGKV2-24,IGKV2-26,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-4,IGKV2-40,IGKV2D-18,IGKV2D-24,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-31,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGKV7-3
GH03_W_LXZ1225__IGK.csv,0.015676756139348942,0.000970873786407767,0.016876070816676185,0.01699029126213592,0.01262135922330097,0.03215305539691605,,0.0015419760137064535,0.06707595659623072,0.07672758423757853,0.008823529411764706,0.016961736150770988,0.020759565962307252,0.004111936036550542,0.00759565962307253,0.002826956025128498,0.00019988577955454027,0.01690462592804112,0.002198743575099943,0.03706453455168475,,0.005111364934323244,0.004397487150199886,2.8555111364934324e-05,0.00028555111364934324,,0.0048543689320388345,0.0010850942318675044,0.055910908052541404,0.014477441462021701,0.031010850942318674,,0.002227298686464877,,0.0005425471159337522,0.021958880639634495,0.0096516276413478,0.007167332952598515,0.11581953169617361,0.10131353512278699,0.18006853226727584,,0.0006282124500285551,0.0032838378069674472,0.004340376927470017,0.0032838378069674472,0.0014848657909765847,0.06487721302113078,0.0036550542547115934,0.0030553969160479724,0.0006282124500285551,0.0002569960022844089,0.0005139920045688178
GH03_W_ZXM1225__IGK.csv,0.04452080100495086,0.0008497746249907633,0.01895366880957659,0.02198330008128279,0.01378112761398064,0.03594916130939186,,0.001625655804330156,0.08486662233059927,0.07633192935786595,0.008239119190127835,0.015443730141136482,0.02287002142909924,0.004396660016256558,0.007869651961870982,0.0017734426956328973,0.000406413951082539,0.01991428360304441,0.0017734426956328973,0.032291435749649,,0.003953299342348334,0.004064139510825389,7.389344565137072e-05,7.389344565137072e-05,,0.007056824059705904,0.0006280942880366511,0.053794428434197884,0.01633045148895293,0.028042562624695188,,0.002992684548880514,3.694672282568536e-05,0.00011084016847705608,0.013448607108549471,0.006170102711889456,0.008904160200990172,0.11002734057489101,0.09295795462942437,0.16060740412325428,,0.0004803073967339097,0.0015148156358530999,0.0024015369836695487,0.0008867213478164486,0.0010714549619448754,0.06299416241779354,0.00358383211409148,0.0030296312717061997,0.00022168033695411216,3.694672282568536e-05,0.0006650410108623365
BW_1__IGK.csv,0.015938606847697757,0.0007378984651711924,0.012249114521841794,0.012101534828807556,0.011511216056670602,0.035566706021251476,,0.0008854781582054309,0.0590318772136954,0.048406139315230225,0.009592680047225502,0.013282172373081463,0.015495867768595042,0.0036894923258559624,0.006345926800472255,0.0035419126328217238,0.00014757969303423848,0.024498229043683588,0.0013282172373081465,0.039108618654073196,,0.004132231404958678,0.005017709563164109,,0.0005903187721369539,,0.02257969303423849,0.0013282172373081465,0.12234356552538371,0.026859504132231406,0.029958677685950414,,0.005017709563164109,,0.00014757969303423848,0.026859504132231406,0.016971664698937426,0.009297520661157025,0.10950413223140495,0.08102125147579693,0.14772727272727273,,0.0007378984651711924,0.0013282172373081465,0.004722550177095631,0.0035419126328217238,0.0014757969303423849,0.056227863046044865,0.006050767414403778,0.0010330578512396695,0.0007378984651711924,,0.0013282172373081465
BW_2__IGK.csv,0.008370457209847597,0.001078546307151231,0.018030480656506448,0.017561547479484175,0.012590855803048065,0.013388042203985932,,0.00018757327080890974,0.042602579132473624,0.06672919109026963,0.00921453692848769,0.005486518171160609,0.01988276670574443,0.005134818288393904,0.0010550996483001172,0.0014771395076201641,7.033997655334115e-05,0.017116060961313014,0.00023446658851113716,0.023587338804220398,,0.00037514654161781947,0.0029308323563892145,,0.00011723329425556858,,0.011441969519343493,0.0004689331770222743,0.045439624853458385,0.018218053927315358,0.06532239155920282,,0.004196951934349355,2.3446658851113717e-05,0.0004454865181711606,0.016506447831184056,0.015216881594372803,0.018898007033997657,0.07629542790152403,0.23425556858147714,0.14567409144196952,,0.0003048065650644783,0.001242672919109027,0.00839390386869871,0.0007971864009378663,0.0016881594372801876,0.06297772567409145,0.0013833528722157092,0.002485345838218054,0.0007737397420867527,4.6893317702227434e-05,0.0002813599062133646
BW_4__IGK.csv,0.01948063152445863,0.0010007764644983177,0.017323785695798465,0.0053144681218186525,0.015494780433094643,0.04232594254162712,,0.00037960486584418944,0.09440082822879821,0.07089983607971702,0.00322664135967561,0.0062807350530584075,0.017634371495125527,0.004986627555862307,0.001621948063152446,0.0017944957294452593,3.450953325856268e-05,0.020861012854801138,0.0005694072987662841,0.059459925804503495,,0.00041411439910275213,0.001121559830903287,,0.0003623500992149081,,0.0024501768613579503,0.0005521525321370028,0.05440427918212406,0.021326891553791735,0.04857216806142697,1.725476662928134e-05,0.003934086791476145,,0.0018290052627038219,0.018738676559399533,0.012388922439824002,0.015684582866016736,0.08244327495470624,0.08541109481494263,0.18051936847554137,,0.00037960486584418944,0.0015184194633767578,0.003105857993270641,0.0024501768613579503,0.002036062462255198,0.07081356224657062,0.002916055560348546,0.0026744888275386076,0.0006211715986541282,1.725476662928134e-05,0.00020705719955137607
BW_5__IGK.csv,0.019069652523528224,4.492262078569664e-05,0.0213831674939916,0.01628445003481503,0.012600795130387907,0.03259136138002291,,0.0010332202780710226,0.11205947754992027,0.0528065407335864,0.015925069068529456,0.006491318703533164,0.021068709148491724,0.0026504346263561017,0.00440241683699827,0.0008086071741425395,0.0001123065519642416,0.011298039127602704,0.0006064553806069046,0.04004851643044855,,0.0013027560027852026,0.0011006042092495676,,0.00020215179353563488,,0.009793131331281867,0.0012129107612138092,0.08070348824150402,0.002043979245749197,0.0460681476157319,,0.0017744435210350171,,6.738393117854496e-05,0.04761797803283844,0.013813705891601717,0.00707531277374722,0.08110779182857528,0.057141573639406126,0.16848228925675524,,0.00015722917274993824,0.0012353720716066574,0.001841827452213562,0.001123065519642416,0.0011006042092495676,0.09856023000381842,0.001415062554749444,0.002695357247141798,0.000561532759821208,2.246131039284832e-05,0.000494148828642663
BW_17__IGK.csv,0.013923234060853672,0.0007526072465326309,0.008762498656058488,0.013009353832921192,0.015697236856252017,0.03757660466616493,,0.0011289108697989463,0.08128158262552414,0.0677884098484034,0.005537039028061499,0.009407590581657885,0.024889796796043435,0.005859584990861198,0.00021503064186646596,0.0010751532093323298,,0.01666487474465111,0.0009676378883990968,0.03967315342436297,,0.0018277604558649607,0.0032254596279969894,,0.00032254596279969894,,0.004730674121062251,0.0008063649069992474,0.06972368562520159,0.017417481991183745,0.03660896677776583,,0.005805827330394581,,0.00032254596279969894,0.031071927749704333,0.012955596172454575,0.010375228470056983,0.10031179443070637,0.10273088915170411,0.16320825717664766,,0.0016664874744651112,0.0018815181163315772,0.002634125362864208,0.002096548758198043,0.0011826685302655628,0.07864745726265993,0.003601763251263305,0.0011826685302655628,0.0006450919255993979,,0.0008063649069992474
BW_9__IGK.csv,0.03220675944333996,0.0013916500994035786,0.027236580516898607,0.049602385685884695,0.015308151093439365,0.027485089463220674,,0.0006461232604373757,0.09791252485089463,0.09642147117296222,0.006063618290258449,0.008300198807157058,0.02162027833001988,0.0036779324055666003,0.0009443339960238568,0.007902584493041749,9.940357852882704e-05,0.011381709741550696,0.00039761431411530816,0.11118290258449304,,0.0004970178926441351,0.0034294234592445326,,,,0.0014910536779324055,0.0006461232604373757,0.061332007952286285,0.019433399602385687,0.06600397614314116,,0.015457256461232605,,0.0007455268389662028,0.015954274353876738,0.00959244532803181,0.017544731610337972,0.03628230616302187,0.045278330019880714,0.10934393638170974,,0.0005964214711729623,0.0016898608349900596,0.001341948310139165,0.0024353876739562626,0.002335984095427435,0.06058648111332008,0.0030318091451292245,0.00437375745526839,0.0005467196819085487,0.00014910536779324057,9.940357852882704e-05
BW_CT0530__IGK.csv,0.016532565924707816,0.0005873025195278087,0.01280319492570623,0.014183355846596583,0.01339049744523404,0.02343337052915957,,0.00046984201562224703,0.04674928055441358,0.06621835907676044,0.013919069712809068,0.0070182651083573145,0.01477065836612439,0.004933341164033594,0.009749221824161625,0.0017031773066306455,,0.014183355846596583,0.0004111117636694661,0.025048452457861043,,0.0004992071415986374,0.0020261936923709404,,5.873025195278088e-05,,0.016855582310448113,0.0007047630234333705,0.09173665355024373,0.029012744464673754,0.06363422799083808,,0.005080166793915546,,8.809537792917132e-05,0.03086274740118635,0.018500029365125976,0.01932225289246491,0.07884536324660833,0.08724378927585599,0.16418041933399893,,0.0006166676455041992,0.001203970165032008,0.0049920714159863745,0.004052387384741881,0.002202384448229283,0.08756680566159629,0.002143654196276502,0.0014976214247959124,0.0006166676455041992,,0.0003523815117166853
BW_6__IGK.csv,0.024408874691850976,0.001041630498941009,0.020103468629561475,0.014582826985174126,0.0154508524009583,0.026978229922572133,,0.00013888406652546787,0.08857331342661713,0.08708030971146835,0.008576091107947641,0.009791326690045484,0.021006215061977015,0.005173431478073678,0.0014235616818860457,0.004409569112183605,0.0001041630498941009,0.013680080552758584,0.0006249782993646054,0.048748307350439224,,0.0006596993159959724,0.002986007430297559,,6.944203326273393e-05,,0.002187424047776119,0.0005555362661018715,0.07815700843720703,0.023783896392486372,0.06034512690531579,,0.003229054546717128,,0.00013888406652546787,0.026735182806152565,0.010728794139092392,0.0194437693135655,0.06423388076802888,0.0812471789173987,0.15495989722579076,,0.00024304711641956876,0.0018054928648310823,0.00229158709767022,0.0014582826985174125,0.0027429603138779905,0.06510190618381306,0.00114579354883511,0.0036109857296621646,6.944203326273393e-05,,0.00017360508315683484
