,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-1,TRBV12-2,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV23-1,TRBV24-1,TRBV25-1,TRBV26,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV3-2,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-5,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
GH03_W_ZXM1225__TRB.csv,0.0024994426125629263,0.005832032762646828,0.04407467818209554,0.001079571457069433,0.021849587533296567,0.0012673230148206385,,4.693788943780143e-05,0.035238620495429425,0.015947147936493034,0.004341754772996633,0.005210105727595959,0.012274258087985074,0.012767105927081988,0.0005632546732536171,0.025358194768772224,0.06527886973562234,0.034569755570940754,0.10456588319506213,,0.012567619896971333,0.004283082411199381,,0.03406517325948439,0.057017801194569284,0.06556049707224915,0.04470833968950586,,0.014797169645266901,0.026332155974606603,0.013846677384151422,0.021122050247010644,0.042842558584353256,0.0001408136683134043,0.014996655675377557,0.0042478789941210295,0.007838627536112839,2.3468944718900713e-05,0.001572419296166348,0.028057123411445804,0.02223682512115843,0.007416186531172626,0.03181215456646992,0.02035930954364637,0.00021122050247010643,0.0001877515577512057,0.00025815839190790785,,0.040260974665274174,0.007005479998591863,0.00034029969842406036,4.693788943780143e-05,0.006172332461070888,0.0012555885424611881,0.01246200964573628,0.04281908963963436,0.02037104401600582
BW_CT0530__TRB.csv,0.0010435731946183734,0.004350897472947372,0.014674244613556818,0.0018302668336383778,0.022926500337154418,0.001573387278040009,,1.605497222489805e-05,0.015509103169251517,0.015428828308127028,0.0026972353337828725,0.007192627556754327,0.01005041261278618,0.009681148251613524,0.0004816491667469415,0.02323154480942748,0.06823363195581672,0.033009022894390394,0.11932055357544231,,0.011431140224127412,0.004944931445268599,,0.03188517483864753,0.10251099765597406,0.0683941816780657,0.03649295186719327,,0.014401310085733551,0.02364897408727483,0.009199499084866582,,0.06850656648363998,0.00014449475002408245,0.020630639308993996,0.007561891917926982,0.01523616864142825,1.605497222489805e-05,0.002087146389236747,0.028947114921491185,0.012571043252095173,0.0033554891950036926,0.033715441672285906,0.01921780175320297,0.00030504447227306297,0.0002247696111485727,0.0001284397777991844,,0.028866840060366696,0.009167389140416787,0.0002889895000481649,1.605497222489805e-05,0.005956394695437177,0.000931188389044087,0.014401310085733551,0.05057316250842886,0.022990720226054008
BW_17__TRB.csv,0.0027556048103275278,0.00491216509667081,0.015335539813996676,0.0021565602863432825,0.02015784823206985,0.0021565602863432825,,4.4928339298818385e-05,0.04115435879771764,0.015500277058092343,0.001991823042247615,0.009809354080242014,0.012624863342967967,0.0246806343881509,0.0007338295418807003,0.021460770071735583,0.06430742964970872,0.03095562577688587,0.07416171206924954,,0.012864481152561663,0.004432929477483414,,0.023183023078190288,0.09051562757401944,0.040210863672442455,0.0354334835936681,,0.013313764545549849,0.02465068216195169,0.008027196621388885,,0.07044763602054722,8.985667859763677e-05,0.01825588186841987,0.009794377967142408,0.018465547451814356,0.00011980890479684903,0.0032348404295149237,0.04161861830380543,0.014676590837614006,0.003010198733020832,0.042067901696793614,0.01973851706528088,0.00034445060129094097,0.00023961780959369806,0.0002545939226933042,,0.03374118281341261,0.016967936141853743,0.0005391400715858206,2.9952226199212258e-05,0.01129198927710302,0.0015724918754586434,0.018839950279304508,0.04966079103829392,0.027466191424677638
BW_1__TRB.csv,0.0009435699162294026,0.0024624873423547823,0.01891742612537973,0.0019331676332504833,0.01514314646046212,0.004372641075209426,,2.3013900395839086e-05,0.022806775292276534,0.032886863665654055,0.005845530700543128,0.0047868912823345305,0.01008008837337752,0.007088281321918439,0.00029918070514590815,0.020965663260609408,0.0629430175826199,0.03024026512013256,0.11085795820675688,,0.025131179232256284,0.002945779250667403,,0.01693823069133757,0.05990518273036914,0.06462303231151616,0.027386541471048513,,0.006927184019147565,0.012151339409003039,0.0171913835956918,0.012887784221669888,0.09741784037558686,0.00011506950197919544,0.014245604345024395,0.00428058547362607,0.008377059744085428,2.3013900395839086e-05,0.0013578201233545061,0.01714535579490012,0.02393445641167265,0.0022323483383963915,0.03003314001657001,0.013831354137899292,4.602780079167817e-05,9.205560158335634e-05,0.00020712510356255177,,0.10268802356623401,0.007617601031022738,0.0003682224063334254,,0.004901960784313725,0.0031759182546257938,0.01058639418208598,0.039860075485593296,0.018779342723004695
BW_2__TRB.csv,0.0012612612612612612,0.003213213213213213,0.026126126126126126,0.0019219219219219219,0.014204204204204204,0.005735735735735736,,,0.03216216216216216,0.0318018018018018,0.006996996996996997,0.006426426426426426,0.00966966966966967,0.006696696696696697,0.0008708708708708709,0.05075075075075075,0.09081081081081081,0.026876876876876878,0.08246246246246246,,0.016216216216216217,0.0038738738738738738,,0.023993993993993993,0.061381381381381384,0.05597597597597598,0.04102102102102102,,0.015375375375375375,0.02762762762762763,0.025915915915915917,,0.05015015015015015,9.009009009009009e-05,0.016006006006006004,0.006216216216216216,0.011171171171171172,0.00018018018018018018,0.0022822822822822822,0.03342342342342342,0.01048048048048048,0.003243243243243243,0.03465465465465466,0.02834834834834835,0.00024024024024024023,,0.0005105105105105105,,0.03246246246246246,0.007147147147147147,0.0006606606606606607,,0.005975975975975976,0.0016216216216216215,0.02081081081081081,0.04426426426426426,0.02069069069069069
BW_4__TRB.csv,0.0011396235312610523,0.002338193107242504,0.028058317286910047,0.0014147050732895823,0.011808857625653318,0.001355759028569183,,0.00013754077101426495,0.03870790269972885,0.01746767791881165,0.003261681141195426,0.004185169175148348,0.009883286831453609,0.008429284395017094,0.0008645419892325225,0.025130663732463553,0.06016426297795418,0.02585766495068181,0.10551342004951468,,0.007918418674106968,0.003988682359413683,,0.023067552167249577,0.04705859236845208,0.09191653240067592,0.027350964750265258,,0.009627853970998546,0.025130663732463553,0.014854403269540614,0.030141077533697488,0.037627225213188197,3.929736314693284e-05,0.01801784100286871,0.004971116438087004,0.009195582976382285,3.929736314693284e-05,0.0021613549730813064,0.026093449129563406,0.030514402483593352,0.002711518057138366,0.056057688529099696,0.021083035328329468,9.82434078673321e-05,0.00013754077101426495,0.0001768381341611978,,0.0629543757613864,0.007997013400400833,0.0005698117656305261,1.964868157346642e-05,0.007662985813651904,0.0013164616654222502,0.013361103469957166,0.0451133728926789,0.02530750186662475
BW_9__TRB.csv,0.0033281562014643887,0.0035500332815620148,0.04992234302196583,0.0016640781007321943,0.021522076769469715,0.004992234302196583,,,0.023075216330153095,0.03461282449522964,0.0019968937208786333,0.005657865542489461,0.015531395606833814,0.01619702684712669,0.00044375416019525185,0.005214111382294209,0.04570667850011094,0.02362990903039716,0.06256933658753051,,0.04126913689815842,0.01053916130463723,,0.023851786110494787,0.05058797426225871,0.10661193698690925,0.01608608830707788,,0.011093854004881295,0.015975149767029066,0.007211005103172842,0.00044375416019525185,0.0607943199467495,0.0003328156201464389,0.020079875748835144,0.005103172842245396,0.012092300865320612,,0.0034390947415132017,0.022742400710006657,0.04759263368094076,0.007987574883514533,0.04437541601952518,0.013534501885955182,0.00044375416019525185,,,,0.045484801420013314,0.014865764366540937,0.0003328156201464389,0.00022187708009762592,0.009873530064344353,0.00299534058131795,0.015087641446638562,0.044597293099622806,0.02473929443088529
BW_8__TRB.csv,0.002217470499722816,0.003801377999524828,0.017185396372851824,0.000554367624930704,0.01243367387344579,0.0010295398748713074,,,0.0137799952482775,0.010374594123703175,0.00546448087431694,0.0051476993743565375,0.002851033499643621,0.009265858873841768,0.00015839074998020116,0.007761146749029856,0.028589530371426308,0.02890631187138671,0.061138829492357646,,0.07404767561574405,0.003009424249623822,,0.061218024867347745,0.05116021224360497,0.06430664449196168,0.008473905123940762,,0.007285974499089253,0.01235447849845569,0.011562524748554685,,0.11942662548507167,,0.015839074998020116,0.002296665874712917,0.009028272748871465,,0.02193711887225786,0.01948206224756474,0.008869881998891264,0.0025342519996832185,0.08798606161400174,0.018769303872653836,0.00554367624930704,0.00015839074998020116,7.919537499010058e-05,,0.02169953274728756,0.007285974499089253,0.0004751722499406035,,0.006652411499168448,0.00411815949948523,0.06961273461629841,0.03508355112061456,0.03904331987011959
BW_5__TRB.csv,0.0018590851047847968,0.0050326748291143995,0.020130699316457598,0.0014647337189213551,0.018346728761361075,0.0014647337189213551,,1.8778637422068655e-05,0.027961391121460226,0.013445504394201157,0.0025163374145571998,0.00418763614512131,0.017144895966348682,0.008863516863216405,0.0009952677833696387,0.02193344850897619,0.0629647712761962,0.04191391872605724,0.11423045143844363,,0.007304889957184707,0.003812063396679937,,0.024806580034552692,0.09851273191617216,0.07105836400510779,0.03365131826034703,,0.01519191767445354,0.01601817772102456,0.017482911439945917,0.009858784646586044,0.0658942387140389,0.00011267182453241193,0.025520168256591303,0.007286111319762638,0.013464283031623225,9.389318711034327e-05,0.0011642755201682565,0.02931345301584917,0.02272215128070307,0.0029670247126868474,0.023679861789228575,0.017482911439945917,0.0003380154735972358,0.00018778637422068654,0.00013145046195448058,,0.04572598212273717,0.006027942612484038,0.00048824457297378505,7.511454968827462e-05,0.0051453466536468115,0.0012393900698565313,0.014966574025388717,0.037726282580935924,0.01607451363329077
BW_6__TRB.csv,0.0037784734967073303,0.006045557594731728,0.04733887509446184,0.0024290186764547124,0.022454928209003563,0.004588146388858901,,0.00010795638562020944,0.027258987369102882,0.03476195616970744,0.0025909532548850263,0.005235884702580158,0.008096728921515708,0.015383784950879845,0.00016193457843031414,0.010741660369210839,0.06050955414012739,0.020673647846270106,0.06612328619237828,,0.029688006045557595,0.014034330130627227,,0.027474900140343303,0.04879628630033467,0.08874014897981215,0.015869588686170787,,0.013008744467235238,0.02342653567958545,0.010795638562020943,0.0002698909640505236,0.052574759797041994,5.397819281010472e-05,0.017434956277663824,0.004534168196048796,0.01236100615351398,5.397819281010472e-05,0.003238691568606283,0.02061966965346,0.039080211594515815,0.004534168196048796,0.046529202202310264,0.013980351937817121,0.0003238691568606283,0.0002698909640505236,0.0005937601209111519,,0.0538162582316744,0.01910828025477707,0.0005397819281010472,,0.009554140127388535,0.0036705171110871207,0.01592356687898089,0.04777070063694268,0.023048688329914715
