,TRAV1-1,TRAV1-2,TRAV10,TRAV12-1,TRAV12-2,TRAV12-3,TRAV13-1,TRAV13-2,TRAV14DV4,TRAV16,TRAV17,TRAV18,TRAV19,TRAV2,TRAV20,TRAV21,TRAV22,TRAV23DV6,TRAV24,TRAV25,TRAV26-1,TRAV26-2,TRAV27,TRAV28,TRAV29DV5,TRAV3,TRAV30,TRAV34,TRAV35,TRAV36DV7,TRAV38-1,TRAV38-2DV8,TRAV39,TRAV4,TRAV40,TRAV41,TRAV5,TRAV6,TRAV7,TRAV8-1,TRAV8-2,TRAV8-3,TRAV8-4,TRAV8-5,TRAV8-6,TRAV9-1,TRAV9-2
BW_9__TRA.csv,0.020814781834372218,0.06344612644701692,0.05559884238646483,0.057769367764915404,0.05559884238646483,0.051758682101513805,0.06533837934105076,0.0152493321460374,0.007735975066785397,0.027994211932324133,0.054430097951914516,,0.021093054318788957,0.033615316117542295,0.006344612644701692,0.07396482635796972,0.011409171861086375,0.014303205699020482,0.00857079252003562,0.005231522707034728,0.020035618878005344,0.00428539626001781,0.02404274265360641,,0.015082368655387356,0.009906500445235975,0.00701246660730187,0.0011687444345503117,0.016362422083704364,0.006567230632235085,0.005565449688334817,0.010129118432769368,0.00016696349065004453,0.010017809439002672,5.565449688334817e-05,0.019479073909171862,0.01769813000890472,0.0106300089047195,,0.0091273374888691,0.007123775601068566,0.01769813000890472,0.04279830810329475,,0.006956812110418522,,0.08782279608192342
BW_5__TRA.csv,0.01106229611701568,0.03468641481637378,0.012614437546038092,0.018415237293486268,0.07530516678943491,0.020861833105335157,0.06432179311796275,0.020480374618541512,0.019493844049247606,0.009707460801852046,0.09760075765547722,,0.0722798063769336,0.018888771966747344,0.01008891928864569,0.030687677575502472,0.00987845943386299,0.02453172682310849,0.022203514679574873,0.015600336735767653,0.07562085657160897,0.006655792907502894,0.020993370514574346,,0.017389245501420604,0.013837735451962539,0.003025360412501315,0.001933599915816058,0.011627906976744186,0.006445333052720194,0.005564032410817637,0.00978638324739556,0.000276228559402294,0.015784489108702515,0.00019730611385878144,0.005327265074187099,0.02754393349468589,0.025452488687782805,,0.02537356624223929,0.016718404714300746,0.03523887193517836,0.02051983584131327,,0.017389245501420604,0.0001052299273913501,0.04848468904556456
BW_6__TRA.csv,0.020966655439541935,0.06986078365330639,0.06472437408779612,0.04605927921859212,0.05824070955428315,0.03786347816324239,0.04768721230492871,0.011844616593690356,0.008336140114516673,0.0226507241495453,0.06320871224879308,,0.019226451105871786,0.029583473672392502,0.010778039744021556,0.0607668126192882,0.012602447513191872,0.014623329965195914,0.011423599416189515,0.007073088582014146,0.025962725945885258,0.0070169529583473675,0.01858089143370383,,0.012181430335691029,0.01263051532502526,0.006567867969013136,0.0015156618390030313,0.013248007185359829,0.0052206130010104415,0.006736274840013472,0.012265633771191197,8.42034355001684e-05,0.013135735938026272,0.0003648815538340631,0.021078926686875492,0.01846862018637027,0.009262377905018524,2.806781183338947e-05,0.011170989109689009,0.009318513528685304,0.018665094869203997,0.06348939036712697,,0.007578309195015157,0.00011227124733355787,0.08779611541484227
BW_7__TRA.csv,0.030494132673425402,0.06833240201165483,0.016923445358026663,0.038077752055559994,0.07591602139378942,0.02674223676857987,0.045781112796359866,0.01325137702562465,0.01752215215135308,0.017801548654905405,0.01844016923445358,7.9827572443522e-05,0.02494611638860062,0.04534206114792049,0.008661291610122137,0.10046299992017242,0.011654825576754211,0.015446635267821505,0.006026981719485911,0.008860860541230942,0.05112956015007584,7.9827572443522e-05,0.018320427875788296,,0.015007583619382134,0.01436896303983396,0.0058274127883771055,0.000718448151991698,0.00997844655544025,0.013051808094515846,0.004550171629280754,0.018919134669114712,,0.01844016923445358,0.000319310289774088,0.006545860940368803,0.01604534206114792,0.026183443761475213,,0.0074638780234693065,0.014927756046938613,0.013131635666959367,0.030134908597429552,,0.008222239961682766,0.000319310289774088,0.11555041111199808
BW_8__TRA.csv,0.13953027730616865,0.09190718732314658,0.005800792303338993,0.13364459535936615,0.038172043010752686,0.02017543859649123,0.04066213921901528,0.0077815506508206,0.033616298811544994,0.02062818336162988,0.010498019241652518,,0.11601584606677985,0.019241652518392757,0.0020939445387662707,0.04728353140916808,0.0023486134691567627,0.004301075268817204,0.010384833050367855,0.0016694963214487833,0.017147707979626486,0.0007074136955291454,0.015308432371250708,,0.01488398415393322,0.040379173740803624,0.02606112054329372,0.0001414827391058291,0.006196943972835314,0.0018109790605546124,0.003254102999434069,0.004923599320882852,2.829654782116582e-05,0.014601018675721562,5.659309564233164e-05,0.0030277306168647426,0.01794001131861913,0.010922467458970006,,0.0057159026598754955,0.01839275608375778,0.00865874363327674,0.007724957555178268,,0.005263157894736842,,0.031097906055461234
BW_16__TRA.csv,0.016596378435767372,0.05011354252683733,0.01220213518933585,0.014259171876843222,0.04292497345759113,0.025583932995163382,0.06388610357437773,0.02232511501710511,0.04742981007431874,0.011479591836734694,0.07995163383272384,,0.030007667807007195,0.026874188981951163,0.011287896661554796,0.07939129408989029,0.012474932169399551,0.0026468679957532145,0.02655715465376902,0.016530022413589713,0.04067624159490386,0.007254925091423853,0.012769847823522473,,0.027117494396602573,0.012622389996461012,0.003907632417128701,0.001459832487908458,0.014214934528724785,0.011258405096142503,0.007026365459478589,0.01237171169045653,0.0001695765011206795,0.028761649168337854,0.0008257638315441783,0.019847823522472573,0.010196708741299989,0.020658841571310604,2.9491565412292086e-05,0.012010440014155951,0.012548661082930282,0.03257343399787661,0.03368674059219064,7.3728913530730215e-06,0.02214079273327828,4.4237348118438125e-05,0.06329627226613188
BW_11__TRA.csv,0.021622206423294488,0.026042471639207445,0.012472566535810331,0.027572563444715772,0.052517696516336435,0.053460480356094096,0.058962628666810915,0.019489351179252573,0.028669902012302555,0.02156038453216284,0.05274952860808012,,0.11984173595870298,0.02602701616642453,0.009783314271583568,0.07981206145095979,0.011607060059967235,0.002457420172483076,0.02157584000494575,0.010046057308893078,0.030632747055732434,0.00955148217983988,0.014960897653859231,,0.01826836882940249,0.019937559889957032,0.0030447281382337487,0.0018237457883836666,0.0077277363914562145,0.007758647337022039,0.0019319340978640536,0.008964174214089208,0.0001545547278291243,0.035331210781737815,0.00043275323792154805,0.004528453525393342,0.017402862353559395,0.009134184414701246,,0.013214429229390126,0.011715248369447621,0.031096411239219808,0.018809310376804427,,0.018407468084448705,7.727736391456215e-05,0.058823529411764705
BW_12__TRA.csv,0.010391192724424524,0.027396544971933338,0.01405508898655411,0.02254035942735303,0.05090291980331578,0.0944780470823724,0.0677864322701362,0.017527522736173362,0.03129541795396197,0.01559549192811453,0.03805752578216788,,0.015752143074713894,0.03289674078586659,0.012775771289325964,0.08219833775727775,0.015047212915016752,0.030999521343718726,0.0076323919759801575,0.013367564509812455,0.046029328575779994,0.00750184935381402,0.019685827422653495,,0.01839780688394761,0.013498107131978592,0.005308733301422915,0.0012009921239284627,0.01068708933466777,0.008476567599321179,0.005700361167921326,0.0195639876419651,0.00019146251251033462,0.020930333753970673,0.0009399068795961881,0.005952743570775858,0.013184804838779861,0.016100256733823592,3.481136591096993e-05,0.020521300204516774,0.02001653539880771,0.02516861755363126,0.033619076628519214,,0.012949828118880815,0.00017405682955484966,0.07346938775510205
BW_13__TRA.csv,0.09239050287568205,0.1106584574546527,0.014433711841911223,0.018562896327975226,0.03185370889249373,0.013401415720395222,0.09475003686771863,0.016737944256009437,0.0211805043503908,0.016240230054564223,0.02405618640318537,,0.03930098805485917,0.04757779088629996,0.0070786019761097186,0.0364068721427518,0.0231160595782333,0.027374281079486803,0.016443002507004867,0.009622474561274148,0.017770240377525438,0.01056260138622622,0.012535024332694293,,0.03174310573661702,0.026526323551098657,0.0036130364253060022,0.0010875976994543578,0.010212358059283291,0.0055485916531485035,0.004811237280637074,0.011281521899424864,7.37354372511429e-05,0.010009585606842649,0.00040554490488128593,0.004129184486064003,0.04190016221796195,0.010599469104851792,,0.007539448458929361,0.014581182716413508,0.028351275623064446,0.018286388438283438,,0.010249225777908863,3.686771862557145e-05,0.05696062527650789
BW_14__TRA.csv,0.01138192687974247,0.01851000229937917,0.010002299379167625,0.024603357093584733,0.03161646355484019,0.01563577833984824,0.044837893768682455,0.024028512301678545,0.020579443550241435,0.015865716256610714,0.027247643136353184,,0.01770521959071051,0.026902736261209474,0.01724534375718556,0.1200275925500115,0.010002299379167625,0.03989422855828926,0.009082547712117727,0.013566337088985974,0.031961370429983905,0.04736721085306967,0.012301678546792367,,0.02425845021844102,0.028282363761784318,0.02126925730052886,0.0006898137502874224,0.028397332720165556,0.0064382616693492755,0.021729133134053804,0.0164405610485169,,0.01563577833984824,0.00022993791676247414,0.008392733961830306,0.030351805012646584,0.009887330420786388,,0.01563577833984824,0.030696711887790298,0.03345596688893999,0.035065532306277306,,0.02080938146700391,,0.06196826856748678
