,IGLJ1,IGLJ2,IGLJ3,IGLJ4,IGLJ5,IGLJ6,IGLJ7
BW_4__IGL.csv,0.1858308403589883,0.30383464781071523,0.4928474299700843,0.00010878433505575198,0.0010062550992657056,0.005819961925482731,0.010552080500407941
BW_9__IGL.csv,0.08399078405362005,0.3083152970746352,0.5984779724917965,,0.0005585422048453537,0.002792711024226768,0.005864693150876213
BW_CT0530__IGL.csv,0.23317281968967363,0.5498127340823971,0.19764579989299091,5.3504547886570356e-05,0.001070090957731407,0.008132691278758694,0.010112359550561797
BW_5__IGL.csv,0.16048391561929018,0.386218924754997,0.43915065610984994,,0.001993245113781075,0.010049277448646254,0.0021039809534355793
BW_6__IGL.csv,0.11837002239580488,0.26306877150816627,0.6124433276888622,,0.0007647348008958322,0.003495930518380947,0.0018572130878898782
BW_7__IGL.csv,0.08352834113364535,0.4265470618824753,0.4406526261050442,6.500260010400417e-05,0.002470098803952158,0.008710348413936557,0.038026521060842436
BW_8__IGL.csv,0.13130170823165288,0.3632521873697994,0.49401821320159517,0.0001190405333015892,0.003273614665793703,0.00517826319861913,0.0028569727992381407
BW_11__IGL.csv,0.14952749388917758,0.4937929441653675,0.3442462035914314,0.00030794695613680544,0.001751448313028081,0.007275246838732028,0.003098716246126605
BW_12__IGL.csv,0.10847799466973997,0.4825686090902543,0.39123388316646257,0.00018007635237340632,0.0014045955485125694,0.008499603832024779,0.007635237340632428
BW_13__IGL.csv,0.16346717654557041,0.37782026768642446,0.44430847673677504,0.0007393244104525175,0.004079031230082855,0.007316762268961122,0.0022689611217335884
BW_14__IGL.csv,0.16452281158163512,0.26410367586838174,0.555523437876379,,0.0020715903068844244,0.01127330539095245,0.0025051789757672112
BF__IGL.csv,0.12421052631578948,0.2768421052631579,0.5908771929824561,,0.0007017543859649122,0.003157894736842105,0.004210526315789474
BW_10__IGL.csv,0.10754670599803343,0.25055309734513276,0.6317908062930186,0.0002458210422812193,0.0032878564405113076,0.005592428711897739,0.0009832841691248771
iRNormal_097__IGL.csv,0.07466593194654911,0.6514671442347431,0.25265188042430087,0.00013776002204160352,0.00013776002204160352,0.00978096156495385,0.011158561785369886
iRNormal_088_R__IGL.csv,0.08430034129692833,0.3462457337883959,0.5598122866894198,8.532423208191126e-05,0.0010238907849829352,0.006313993174061433,0.002218430034129693
SS03F_W_1_HJ__IGL.csv,0.5266075684940679,0.2525777337368435,0.21540480462786898,,0.0018211521465491846,0.0025978199737539836,0.000990921020916468
WDM__IGL.csv,0.17670099185040117,0.30014530292501107,0.5141196537999874,,0.001137153326173479,0.005559416261292564,0.0023374818371343737
WGF__IGL.csv,0.3443787867454559,0.23027152367417159,0.41966489640212434,3.7399955120053854e-05,0.0010845986984815619,0.003440795871044955,0.0011219986536016157
WJW__IGL.csv,0.2256586483390607,0.3115693012600229,0.44501718213058417,,0.001145475372279496,0.015463917525773196,0.001145475372279496
JGR__IGL.csv,0.42221320346320346,0.2048611111111111,0.3654852092352092,9.018759018759019e-05,0.000946969696969697,0.003291847041847042,0.0031114718614718615
