,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
BW_17__TRD.csv,,0.00020633446817290828,0.002888682554420716,0.00030950170225936243,0.022077788094501186,0.37924275250180545,0.5850613845042815,0.01021355617455896
BW_1__TRD.csv,9.143275121148396e-05,9.143275121148396e-05,0.0013714912681722592,0.0001828655024229679,0.0011886257657492915,0.030904269909481575,0.17317363079455061,0.7929962512572003
BW_2__TRD.csv,,0.0006540222367560497,0.001962066710268149,,0.0013080444735120995,0.9058207979071289,0.08011772400261609,0.010137344669718771
BW_4__TRD.csv,0.0032527881040892194,0.0023234200743494425,0.01254646840148699,,0.013940520446096654,0.4186802973977695,0.3183085501858736,0.23094795539033458
BW_8__TRD.csv,0.0012690355329949238,,0.006345177664974619,,0.0025380710659898475,0.9035532994923858,0.08629441624365482,
BW_9__TRD.csv,,,0.019784172661870502,0.0017985611510791368,0.01079136690647482,0.4694244604316547,0.3597122302158273,0.13848920863309352
BW_5__TRD.csv,0.0056925996204933585,,0.020872865275142316,0.004269449715370019,0.003320683111954459,0.717741935483871,0.23434535104364326,0.013757115749525617
BW_6__TRD.csv,0.000792393026941363,,0.006339144215530904,0.003169572107765452,0.005546751188589541,0.4928684627575277,0.37321711568938193,0.11806656101426308
BW_7__TRD.csv,0.0026761819803746653,,0.0008920606601248885,,0.004906333630686887,0.29571810883140054,0.427743086529884,0.26806422836752897
BW_16__TRD.csv,0.0004757373929590866,0.0002973358705994291,0.002735490009514748,0.0008325404376784015,0.008384871550903901,0.4740723120837298,0.30762369172216936,0.2055780209324453
BW_11__TRD.csv,0.0005741626794258373,0.00019138755980861245,0.0066985645933014355,0.0005741626794258373,0.0036363636363636364,0.543732057416268,0.23559808612440192,0.2089952153110048
BW_12__TRD.csv,0.004205214465937763,0.002523128679562658,0.00672834314550042,0.002523128679562658,0.008830950378469302,0.4503784693019344,0.17619848612279226,0.34861227922624055
BW_13__TRD.csv,0.0005234231876472127,0.00026171159382360636,0.032713949227950796,0.00026171159382360636,0.0023554043444124575,0.8981941900026171,0.0573148390473698,0.008374771002355404
BW_14__TRD.csv,,,0.014634146341463415,,0.00975609756097561,0.7804878048780488,0.11219512195121951,0.08292682926829269
BW_15__TRD.csv,0.0001334311828674361,,0.03369137367402762,,0.0012008806458069252,0.9267462806057776,0.031489759156714925,0.006738274734805524
BF__TRD.csv,0.0024937655860349127,,0.020781379883624274,0.004156275976724855,0.014131338320864505,0.6026600166251039,0.3175394846217789,0.038237738985868665
BW_10__TRD.csv,0.001751927119831815,0.001051156271899089,0.011562718990889979,0.000350385423966363,0.005606166783461808,0.6114225648213034,0.21198318149964962,0.15627189908899788
