,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-1,TRBV12-2,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV23-1,TRBV24-1,TRBV25-1,TRBV26,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV3-2,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-5,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
GH03_W_ZXM1225__TRB.csv,0.0020924654701844347,0.005541311719460756,0.08033247870316765,0.000793978992639153,0.022959225870482176,0.0010338268133322306,,3.308245802663138e-05,0.03170126540401952,0.01300967661897279,0.00479695641386155,0.0041353072533289225,0.009420229923083286,0.021147961293524108,0.0004135307253328922,0.02245471838557605,0.05621536680175337,0.028566702505996196,0.09298651889835415,,0.010495409808948804,0.003316516417169796,,0.03529898271441568,0.054850715408154824,0.06068149863534861,0.03607642047804152,,0.011148788354974775,0.024646431229840376,0.013563807790918866,0.039376395666198,0.035629807294681994,9.924737407989413e-05,0.01162848399636093,0.003515011165329584,0.0062691257960466465,1.654122901331569e-05,0.0018278058059713837,0.0276238524522372,0.02014721693821851,0.008196178976097925,0.02558928128359937,0.017707385658754446,0.0001488710611198412,0.00013232983210652552,0.00018195351914647258,,0.058878504672897194,0.00648416177321975,0.00045488379786618144,3.308245802663138e-05,0.00479695641386155,0.0010503680423455462,0.014076585890331651,0.04863121329914813,0.019791580514432222
BW_CT0530__TRB.csv,0.0008824895494658616,0.004168601950766373,0.011994890849976776,0.0019159312587087784,0.021423594983743615,0.0012656758012076174,,1.161170459823502e-05,0.01308639108221087,0.012958662331630283,0.002136553646075244,0.006723176962378077,0.008871342313051556,0.01052020436600093,0.0003831862517417557,0.021330701346957734,0.06564096609382257,0.032036692986530425,0.15516720854621457,,0.009556432884347422,0.004064096609382257,,0.03383650719925685,0.10004644681839293,0.06637250348351138,0.03280306549001393,,0.013028332559219693,0.022097073850441244,0.008383650719925684,,0.062459359033906175,0.0001045053413841152,0.018764514630747794,0.006026474686483976,0.01784718996748723,1.161170459823502e-05,0.001741755689735253,0.027368787738039944,0.011367858801672086,0.0031816070599163956,0.03336042731072922,0.018416163492800744,0.00029029261495587555,0.00018578727357176033,9.289363678588016e-05,,0.03152577798420808,0.00793079424059452,0.00025545750116117046,1.161170459823502e-05,0.004807245703669299,0.0007315373896888063,0.014537854156990247,0.04904784022294473,0.02922666047375755
BW_17__TRB.csv,0.0026100782104421507,0.004677921863081179,0.012691964819086656,0.0015439899273038077,0.015936181749671444,0.0025916973779742483,,2.757124870185371e-05,0.0390500785780588,0.012600060656747144,0.0018472736630241984,0.015044711374978172,0.010679263663851336,0.07175876995469124,0.0007995662123537576,0.016028085912010954,0.059893942596660206,0.02379398762969975,0.07074782416895661,,0.018261357056861105,0.0035750719150070306,,0.02103686275951438,0.09750112582598866,0.03860893859882914,0.02728634579860122,,0.009539652050841382,0.028085912010954978,0.006745765515720207,,0.05982960968302255,7.352332987160988e-05,0.01420838349768861,0.00743504673326655,0.024832504664136237,7.352332987160988e-05,0.0023619369721254676,0.05383745829848634,0.012030254850242167,0.00230679447472176,0.03518091334356533,0.01628541756656159,0.0002297604058487809,0.0001838083246790247,0.00019299874091297596,,0.036954663676717917,0.017452600428273398,0.0003859974818259519,1.838083246790247e-05,0.013693720188587341,0.0010477074506704408,0.01838083246790247,0.047091692782766134,0.022948469336176235
BW_1__TRB.csv,0.0005213551143914457,0.001359612357138476,0.010202204003189467,0.001185827319007994,0.010519106131545051,0.002105865756169369,,1.0222649301793053e-05,0.014158369282983379,0.028991433419885096,0.005009098157878596,0.002862341804502055,0.006736725889881621,0.006552718202449347,0.00013289444092330968,0.011807159943570976,0.04274089673079675,0.03498190591073583,0.09106335998037252,,0.023297417758786368,0.0014822841487599926,,0.011336918075688495,0.04185152624154076,0.04508188342090736,0.03201733761321584,,0.0036494858007401197,0.0066344993968636915,0.013289444092330968,0.007574983132628652,0.2504855758418352,6.133589581075832e-05,0.007799881417268099,0.0023920999366195744,0.004600192185806874,1.0222649301793053e-05,0.0009404837357649609,0.013483674429065036,0.0133916705853489,0.0012369405655169594,0.029594569728690887,0.007677209625646582,2.0445298603586107e-05,4.0890597207172214e-05,0.00010222649301793052,,0.1353887673529472,0.004191286213735152,0.00016356238882868885,,0.0028112285579930895,0.003864161436077774,0.005745128907607696,0.03845760667334546,0.020383962707775347
BW_2__TRB.csv,0.0008000640051204096,0.0023681894551564127,0.020833666693335466,0.0013121049683974717,0.010512841027282182,0.003792303384270742,,,0.025426034082726617,0.02752220177614209,0.006080486438915113,0.00531242499399952,0.008288663093047443,0.004704376350108008,0.0006560524841987359,0.11468117449395952,0.09037523001840148,0.02096167693415473,0.06518921513721097,,0.015009200736058884,0.0028802304184334746,,0.017825426034082728,0.07392591407312585,0.049155932474597964,0.03816305304424354,,0.01142491399311945,0.02654612368989519,0.04638771101688135,,0.0355388431074486,6.400512040963277e-05,0.011136890951276101,0.005024401952156173,0.006864549163933115,0.00011200896071685735,0.0013761100888071045,0.03349067925434035,0.007584606768541484,0.002384190735258821,0.029138331066485317,0.044467557404592364,0.00012801024081926553,,0.0006560524841987359,,0.028738299063925114,0.004960396831746539,0.0005120409632770621,,0.004016321305704456,0.0009280742459396752,0.03433874709976798,0.0425794063525082,0.015825266021281703
BW_4__TRB.csv,0.0006675637053957923,0.0017523547266639547,0.037174953844228184,0.0009491921436096422,0.007530953051496281,0.0010534989725777346,,0.00011473751186490179,0.03634049921248344,0.011838825087878504,0.0020965672622586602,0.0031500662348363947,0.0077291360265356575,0.006112380177530223,0.0006467023396021737,0.021059548768657885,0.04731357761992678,0.01986002023552482,0.07848045811559283,,0.005789029007729136,0.0027537002847576432,,0.035193124093834426,0.036851602674427095,0.15527114560190255,0.022290369350481377,,0.008031625830543126,0.035109678630659946,0.013111368401289233,0.05132939053519834,0.024313921832462372,2.0861365793618508e-05,0.011505043235180607,0.0029414525769002097,0.006112380177530223,2.0861365793618508e-05,0.002253027505710799,0.019870450918421628,0.025961969730158234,0.0020339831648778046,0.08999593203367025,0.015030614054302135,5.215341448404627e-05,8.344546317447403e-05,9.387614607128329e-05,,0.04518571830897769,0.007384923490940952,0.0006049796080149367,1.0430682896809254e-05,0.006101949494633414,0.0007718705343638848,0.011285998894347614,0.04481021372469256,0.03395187282911412
BW_9__TRB.csv,0.0036708473539308656,0.004053227286631997,0.04665035178953809,0.0013000917711838483,0.02317222392168859,0.004817987152034261,,,0.020648516365861118,0.04573263995105537,0.0019883756500458857,0.005200367084735393,0.01475986540226369,0.015677577240746407,0.00038237993270113184,0.004129703273172224,0.04642092382991741,0.024548791679412665,0.06110431324564087,,0.05429795044356072,0.014071581523401652,,0.023707555827470174,0.046879779749158766,0.10683695319669624,0.016365861119608444,,0.010630162129091465,0.019501376567757724,0.0068828387886203735,0.0003059039461609055,0.05460385438972163,0.0002294279596206791,0.016977669011930253,0.004435607219333129,0.010171306209850108,,0.002906087488528602,0.02278984398898746,0.054450902416641175,0.0065004588559192415,0.03892627714897522,0.011624349954114408,0.0003059039461609055,,,,0.04726215968185989,0.018048332823493423,0.0002294279596206791,0.00015295197308045274,0.008565310492505354,0.003288467421229734,0.011700825940654634,0.04114408075864179,0.021948608137044967
BW_8__TRB.csv,0.0010905446828578164,0.001680028295213393,0.0068380099033246875,0.00020631926432445179,0.00577693940108465,0.00100212214100448,,,0.006985380806413582,0.006955906625795803,0.0065432680971468996,0.004067436925253478,0.0028000471586889886,0.007339070973826928,8.842254185333648e-05,0.003536901674133459,0.02054350389059184,0.023962508842254187,0.04073331761377034,,0.11680617778825748,0.002240037726951191,,0.08011082291912285,0.038286960622494697,0.0483081820325395,0.004244282008960151,,0.0035663758547512378,0.00801697712803584,0.010139118132515916,,0.14224239566140062,,0.010198066493751474,0.0009726479603867012,0.00677906154208913,,0.02782362650318321,0.009136995991511436,0.005983258665409102,0.0010610705022400376,0.12523579344494223,0.016652912049045038,0.006454845555293563,5.894836123555765e-05,2.9474180617778827e-05,,0.013145484555529356,0.003536901674133459,0.00017684508370667296,,0.004480075453902382,0.003861117660929026,0.10121433624145248,0.023726715397311953,0.045360763970761615
BW_5__TRB.csv,0.0011587725288141205,0.0038591263682827403,0.016378008152792434,0.0011173877956421876,0.012725805450369358,0.0010035797794193722,,1.0346183292983219e-05,0.021230368117201564,0.010863492457632379,0.002141659941647526,0.0034763175864423613,0.025948227698801913,0.007573406170463716,0.0006414633641649596,0.01641939288596437,0.05806278064022182,0.04468516564239452,0.10799346121215883,,0.005245514929542492,0.0027727771225195025,,0.022420179195894636,0.12696836137149006,0.076447948351853,0.02639311358040019,,0.012498189417923728,0.014019078361992262,0.027458770459577463,0.009746104661990192,0.10569660852111656,7.242328305088253e-05,0.03339747966974983,0.005069629813561777,0.011329070705816624,5.173091646491609e-05,0.0006828480973368925,0.023258220042626274,0.018850745959815424,0.0021520061249405095,0.018271359695408364,0.012498189417923728,0.00020692366585966436,0.0001138080162228154,7.242328305088253e-05,,0.03978107476152048,0.004728205764893331,0.0002793469489105469,5.173091646491609e-05,0.003414240486684462,0.0007759637469737414,0.013719039046495747,0.033262979286941045,0.013005152399279905
BW_6__TRB.csv,0.003154461053159838,0.0060221529196687815,0.04348137792594186,0.0017923074165680898,0.02437538086532602,0.00419399935476933,,7.169229666272359e-05,0.022475535003763845,0.0517976843388178,0.0020432304548876224,0.0043015377997634155,0.008459691006201383,0.01476861311252106,0.00021507688998817078,0.008065383374556404,0.06312506721152812,0.021722765888805246,0.0630533749148654,,0.046026454457468544,0.02179445818546797,,0.02778076495680539,0.04957522314227336,0.08689106355522098,0.01577230526579919,,0.011542459762698498,0.02713553428684088,0.008423844857870021,0.00025092303831953256,0.04290783955264007,3.5846148331361796e-05,0.01358569021758612,0.0038713840197870737,0.009140767824497258,3.5846148331361796e-05,0.002437538086532602,0.01756461268236728,0.049826146180592897,0.0037996917231243503,0.039072301681184356,0.012223536580994373,0.00021507688998817078,0.00021507688998817078,0.0004659999283077033,,0.05412768398035631,0.024697996200308277,0.00035846148331361794,,0.00738430655626053,0.005018460766390651,0.012331075025988458,0.04312291644262824,0.019249381653941283
