Gene,log2FC,P-value,FC,significant
TRAV13-2;TRAJ44,-0.05513,0.00541,0.96251,Down
TRBV7-3;TRBJ1-5,-0.05426,0.03800,0.96309,Down
TRAV12-3;TRAJ38,-0.05416,0.00161,0.96316,Down
TRAV26-2;TRAJ46,-0.05025,0.01777,0.96577,Down
TRAV24;TRAJ16,-0.04897,0.03262,0.96662,Down
TRAV12-3;TRAJ18,-0.04829,0.04987,0.96708,Down
TRAV8-3;TRAJ56,-0.04354,0.00274,0.97027,Down
TRBV5-8;TRBJ2-2,-0.04153,0.01888,0.97163,Down
TRAV12-3;TRAJ24,-0.03954,0.03149,0.97296,Down
TRAV8-3;TRAJ48,-0.03612,0.02052,0.97527,Down
TRAV30;TRAJ21,-0.03399,0.00402,0.97672,Down
TRBV11-1;TRBJ1-2,-0.03152,0.04261,0.97839,Down
TRAV12-2;TRAJ46,-0.02734,0.01129,0.98123,Down
TRAV39;TRAJ35,-0.02666,0.00903,0.98169,Down
TRAV40;TRAJ32,-0.02607,0.02495,0.98209,Down
TRAV13-1;TRAJ57,-0.02506,0.04877,0.98278,Down
TRAV8-3;TRAJ46,-0.02397,0.02573,0.98352,Down
TRBV6-4;TRBJ1-6,-0.02381,0.03301,0.98363,Down
TRAV24;TRAJ37,-0.02319,0.00831,0.98405,Down
TRAV3;TRAJ53,-0.01665,0.02504,0.98853,Down
TRAV38-2DV8;TRAJ9,-0.01616,0.04421,0.98886,Down
TRAV36DV7;TRAJ7,-0.01481,0.00750,0.98979,Down
TRAV38-2DV8;TRAJ11,-0.01411,0.04572,0.99027,Down
TRAV13-1;TRAJ52,-0.01236,0.04166,0.99147,Down
TRAV41;TRAJ18,-0.00734,0.03742,0.99493,Down
TRAV30;TRAJ41,-0.00464,0.00295,0.99679,Down
TRAV39;TRAJ16,-0.00458,0.01846,0.99683,Down
TRAV21;TRAJ60,-0.00440,0.01215,0.99695,Down
TRAV1-2;TRAJ53,-0.00431,0.02888,0.99702,Down
TRBV16;TRBJ1-5,-0.00306,0.01269,0.99788,Down
TRAV8-6;TRAJ61,-0.00275,0.04604,0.99810,Down
TRBV5-7;TRBJ2-6,-0.00263,0.01018,0.99818,Down
TRAV9-2;TRAJ60,-0.00262,0.03294,0.99819,Down
TRBV11-3;TRBJ1-5,-0.00217,0.04200,0.99850,Down
TRAV7;TRAJ35,-0.00124,0.02343,0.99914,Down
TRAV13-1;TRAJ19,-0.00110,0.01018,0.99923,Down
