,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
BW_11__TRG.csv,0.00040905372238887375,,0.22497954731388056,0.1353967821107172,0.046223070629942735,0.04376874829560949,0.00013635124079629124,,0.009680938096536678,0.0639487319334606,0.4754567766566676
BW_12__TRG.csv,,,0.22544853635505194,0.048984891406987724,0.47084513692162416,0.026794145420207742,0.00011803588290840416,,0.04355524079320113,0.07058545797922569,0.1136685552407932
BW_13__TRG.csv,,,0.24722753346080306,0.23575525812619502,0.10172084130019121,0.06749521988527725,0.0005736137667304016,,0.015105162523900574,0.0869980879541109,0.2451242829827916
BW_14__TRG.csv,,,0.15045871559633028,0.06605504587155964,0.1798165137614679,0.14862385321100918,,,0.05504587155963303,0.326605504587156,0.07339449541284404
BW_15__TRG.csv,,,0.24096714332496452,0.27404213513808534,0.08394280100425718,0.05594367427136775,5.457919441109049e-05,,0.009660517410763018,0.06740530509769675,0.2679838445584543
BF__TRG.csv,,,0.42171189979123175,0.028531663187195546,0.10647181628392484,0.055671537926235214,0.0020876826722338203,,0.022268615170494086,0.022268615170494086,0.3409881697981907
iRNormal_088_R__TRG.csv,9.827044025157233e-05,,0.32330974842767296,0.0532625786163522,0.28783411949685533,0.12126572327044025,,,0.029874213836477988,0.04844732704402516,0.13590801886792453
WJW__TRG.csv,,,0.16210670314637482,0.11354309165526676,0.32181942544459646,0.07626538987688099,,,0.008549931600547196,0.027017783857729138,0.29069767441860467
LFJ__TRG.csv,,,0.16494927076727964,0.08061192136968928,0.21393468611287253,0.11104946100190234,0.001030437539632213,,0.012206721623335448,0.05112555485098288,0.3650919467343056
SS03F_W_1_HJ__TRG.csv,,,0.14777962041643633,0.07112585222037958,0.2568638290031325,0.10558319513543395,0.000552791597567717,,0.00552791597567717,0.03150912106135987,0.3810576745900129
WDM__TRG.csv,,,0.2389699667549445,0.14447512255592496,0.11032850622640446,0.030765763227587763,0.0006198230686876655,,0.005691102721586747,0.03234349467515636,0.43680622076970754
WGF__TRG.csv,,,0.09210969611212183,0.15598679334276666,0.11515396536621521,0.044538777710396875,0.0018192844147968466,,0.009163802978235968,0.07270399568762213,0.5085236843878445
