,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
GH03_W_ZXM1225__IGH.csv,0.00019713756259117613,0.0004337026377005875,0.061822339628592834,0.008555770216457044,0.009541458029412924,0.03197571265228877,0.00019713756259117613,0.037140716792177585,0.0033119110515317587,0.00011828253755470567,7.885502503647044e-05,0.03512991365374758,,0.0001577100500729409,0.02046287899696408,7.885502503647044e-05,0.0050467216023341085,0.04865355044750227,0.029452351851121713,0.015573867444702913,0.005874699365217048,0.028782084138311712,,3.942751251823522e-05,0.0043764538895241095,0.027047273587509364,0.00019713756259117613,0.0485746954224658,,0.08161495091274691,0.012656231518353506,3.942751251823522e-05,,0.0003154201001458818,7.885502503647044e-05,,0.006544967078027047,,0.014667034656783503,0.007057524740764105,,3.942751251823522e-05,0.018530930883570555,,,,,,0.016165280132476444,0.00011828253755470567,0.0020502306509482316,0.019792611284154084,0.0001577100500729409,0.0025233608011670542,0.0030359184639041125,0.014391042069155856,,,0.015297874857075268,0.0011039703505105864,0.005165004139888814,0.02941292433860348,0.03031975712652289,0.05373969956235461,0.019595473721562905,0.0006702677128099988,0.12620746757087095,0.000709695225328234,3.942751251823522e-05,0.01494302724441115,0.0438828214327958,,0.017111540432914088,,,0.019161771083862317,,3.942751251823522e-05
BW_1__IGH.csv,0.00014740566037735848,0.00036851415094339625,0.05888856132075472,0.00877063679245283,0.01061320754716981,0.07606132075471699,0.0008107311320754717,0.04178950471698113,0.005085495283018868,,,0.02152122641509434,,0.03839917452830189,0.04554834905660377,0.00014740566037735848,0.009949882075471699,0.0347877358490566,0.017172759433962265,0.012087264150943397,0.003242924528301887,0.02542747641509434,7.370283018867924e-05,0.00022110849056603774,0.002063679245283019,0.021152712264150945,7.370283018867924e-05,0.05852004716981132,,0.036556603773584904,0.020268278301886794,7.370283018867924e-05,,0.00022110849056603774,7.370283018867924e-05,,0.0030955188679245285,7.370283018867924e-05,0.012529481132075472,0.008991745283018868,,,0.02550117924528302,,,,,,0.0013266509433962263,,,0.020710495283018868,,0.0013266509433962263,0.0022110849056603773,0.020120872641509434,,,0.027638561320754717,0.004422169811320755,0.00022110849056603774,0.043853183962264154,0.02933372641509434,0.08365271226415094,0.00022110849056603774,0.011497641509433961,0.05321344339622641,0.008254716981132075,,,0.06227889150943396,,0.008991745283018868,,,0.02041568396226415,,
BW_2__IGH.csv,1.3661575452881227e-05,0.00015027732998169348,0.050329243968414435,0.037487363042706084,0.005587584360228421,0.023607202382578758,0.00023224678269898085,0.055848520451378454,0.0024864067324243833,,,0.04046558649143419,0.005628569086587066,0.0015437580261755785,0.019986884887565233,6.830787726440613e-05,0.001639389054345747,0.0857946938440941,0.003620317495013525,0.005396322303888084,0.0028279461187464138,0.019563376048525916,2.7323150905762454e-05,4.0984726358643676e-05,0.004467335173092161,0.021394027159212,,0.03930435257793929,,0.045424738380830075,0.016667122052515096,2.7323150905762454e-05,,0.0006147708953796551,4.0984726358643676e-05,,0.0029372387223694637,,0.007527528074537555,0.002841607694199295,,5.464630181152491e-05,0.017432170277876444,,,,1.3661575452881227e-05,,0.004508319899450805,2.7323150905762454e-05,0.0033470859859559003,0.007418235470914506,0.00010929260362304982,0.0026230224869531952,0.001871635837044728,0.01303314298204869,,,0.018074264324161864,0.0015984043279871035,0.005560261209322659,0.12404710511216153,0.01873001994590016,0.04567064673898194,0.014740839913658843,0.0003142162354162682,0.13218940408207874,0.019016913030410667,0.00021858520724609963,,0.03415393863220306,,0.01549222656356731,,,0.01614798218530561,1.3661575452881227e-05,
BW_4__IGH.csv,1.1930611563148727e-05,0.00020282039657352837,0.09701973323152545,0.03316710014555346,0.011393734042807035,0.016416521510892648,0.0008947958672361545,0.03595886325133026,0.002541220262950679,1.1930611563148727e-05,,0.04957169104488296,,0.002183301916056217,0.01116705242310721,,0.0022906774201245554,0.01743062349376029,0.015474003197403899,0.006335154740031974,0.00196855090791954,0.010618244291202367,,1.1930611563148727e-05,0.011739721778138347,0.01752606838626548,1.1930611563148727e-05,0.05034718079648763,,0.03850008351428094,0.010141019828676419,,,8.351428094204109e-05,5.9653057815743634e-05,,0.007945787301057052,,0.007253811830394426,0.004736452790570045,,1.1930611563148727e-05,0.010642105514328664,,,1.1930611563148727e-05,1.1930611563148727e-05,1.1930611563148727e-05,0.006168126178147892,4.772244625259491e-05,0.0029826528907871816,0.007528215896346847,4.772244625259491e-05,0.004342742608986137,0.003925171204275931,0.017168150039371017,,,0.010391562671502541,0.0033286406261184946,0.007528215896346847,0.04629077286501706,0.029194206495024935,0.11498723424562743,0.022429549738719606,0.0003101959006418669,0.09080388460712496,0.03820181822520222,1.1930611563148727e-05,0.03755756520079219,0.053580376530100934,,0.012694170703190245,,,0.01676250924622396,,1.1930611563148727e-05
BW_5__IGH.csv,6.682258603407952e-05,0.00011693952555963916,0.05887069829602406,0.06140995656531908,0.002514199799532242,0.00015035081857667893,0.0001837621115937187,0.05030070163715336,0.0024473772134981624,8.35282325425994e-06,,0.037261944537253594,,0.016814233210825258,0.0278149014366856,0.00021717340461075845,0.005304042766455062,0.08972602739726028,0.010658202472435683,0.012069829602405614,0.0007768125626461744,0.009146341463414634,,8.35282325425994e-06,0.00416805880387571,0.011852656197794855,2.505846976277982e-05,0.05358336117607752,8.35282325425994e-06,0.03534914801202806,8.35282325425994e-06,,,0.00011693952555963916,1.670564650851988e-05,,0.005253925826929502,,0.010090210491146008,0.0027146675576344803,,1.670564650851988e-05,0.007283661877714668,,,1.670564650851988e-05,,,0.001921149348479786,1.670564650851988e-05,0.0025309054460407616,0.010992315402606081,,0.0009104577347143335,0.0028566655529568994,0.006690611426662212,,,0.038247577681256265,0.00034246575342465754,,,0.04135482793184096,0.10758436351486803,0.058670230537921815,1.670564650851988e-05,0.08723688606749082,0.013013698630136987,7.517540928833946e-05,8.35282325425994e-06,0.08381222853324424,,0.005103575008352824,,,0.02224356832609422,,
BW_17__IGH.csv,5.6181353408803615e-05,0.00019663473693081265,0.054692547543470325,0.07095704935531896,0.00806202421416332,0.00016854406022641084,,0.02994466136689233,0.0014888058653332959,2.8090676704401807e-05,,0.012837439253911627,,0.03216382482654007,0.011966628276075171,2.8090676704401807e-05,0.002050619399421332,0.05559144919801118,0.01893311609876682,0.010000280906767044,0.007163122559622461,0.012163263013005984,,2.8090676704401807e-05,0.0005618135340880361,0.020084833843647294,5.6181353408803615e-05,0.05224865867018737,,0.06921542739964606,0.022135453243068627,2.8090676704401807e-05,,0.0039046040619118514,,,0.003820332031798646,,0.009438467372679008,0.002921430377257788,,,0.01800612376752156,,,,,,0.0028652490238489847,0.00011236270681760723,0.00016854406022641084,0.02033764993398691,5.6181353408803615e-05,0.00233152616646535,0.004494508272704289,0.014410517149358128,,,0.026152420011798082,0.0025281609033961628,0.012022809629483974,0.06606927160875306,0.04856878002191073,0.10416022921992191,0.03514143655720666,8.427203011320542e-05,0.04418663445602405,0.0036236972948678332,,0.008146296244276525,0.05418691536279109,,0.019382566926037247,2.8090676704401807e-05,,,,
BF__IGH.csv,,,0.061488673139158574,0.0627831715210356,,0.036893203883495145,0.007766990291262136,0.015533980582524271,0.004530744336569579,,,0.037540453074433655,,,,,0.003236245954692557,,0.018770226537216828,0.06666666666666667,0.0012944983818770227,0.018122977346278317,,,0.006472491909385114,0.0006472491909385113,,0.06601941747572816,,0.09902912621359224,0.013592233009708738,,,,,,0.001941747572815534,,0.016181229773462782,0.007119741100323625,,,0.020711974110032363,,,,,,0.016828478964401296,,0.007766990291262136,0.021359223300970873,,,,0.022006472491909384,,,,0.006472491909385114,,0.016828478964401296,0.03559870550161812,0.06731391585760518,,0.022653721682847898,0.022653721682847898,0.019417475728155338,,0.042071197411003236,0.05825242718446602,,0.05631067961165048,,,0.018122977346278317,,
BW_9__IGH.csv,,,0.06604023292747485,0.0799364743250397,0.009396506087877184,0.0017204870301746956,0.00013234515616728428,0.04301217575436739,0.011381683430386447,,,0.013366860772895712,,0.06683430386447856,0.0513499205929063,,0.003440974060349391,0.007543673901535204,0.012837480148226575,0.006617257808364214,0.00555849655902594,0.015219692959237693,,,0.01296982530439386,0.021042879830598202,,0.12255161461090525,,0.0588935944944415,0.019587083112758072,,,0.0006617257808364214,0.00039703546850185283,,0.003838009528851244,,0.013499205929062997,0.0031762837480148226,,,0.022366331392271042,,,0.00013234515616728428,,,0.002249867654843833,0.00039703546850185283,0.00013234515616728428,0.019322392800423506,0.00026469031233456857,0.006352567496029645,0.002911593435680254,0.014690312334568554,,,0.026998411858125994,0.0021175224986765486,0.003970354685018529,0.014425622022233986,0.010455267337215458,0.05505558496559026,0.02196929592376919,,0.059158284806776075,0.008470089994706194,0.00013234515616728428,,0.07226045526733721,,0.005029115934356803,,,0.00013234515616728428,,
BW_CT0530__IGH.csv,0.00013221217409699085,0.0003701940874715744,0.07808451002168279,0.005024062615685652,0.00809138505473584,0.0520122692897562,0.00029086678301337986,0.03931990057644508,0.0030673224390501876,2.644243481939817e-05,2.644243481939817e-05,0.025067428208789464,,0.021206832725157332,0.01935586228779946,5.288486963879634e-05,0.004125019831826115,0.06436088635041515,0.019064995504786082,0.00967793114389973,0.002141837220371252,0.027235707863980115,,,0.003120207308688984,0.016209212544291078,,0.03265640700195674,,0.04595695171611402,0.017425564545983395,2.644243481939817e-05,,0.0003437516526521762,2.644243481939817e-05,,0.0016129885239832883,,0.010021682796551907,0.004865408006769263,,5.288486963879634e-05,0.010709186101856259,,,,5.288486963879634e-05,0.00010576973927759268,0.008355809402929822,0.00015865460891638903,0.0015336612195250938,0.023322227510709188,0.00023798191337458352,0.0022211645248294463,0.004415886614839494,0.009228409751969962,,,0.015415939499709133,0.0030673224390501876,0.0044423290496588925,0.0448199270188799,0.050822359722883285,0.05521180390290338,0.0009783700883177324,0.013274102279337882,0.07417102966841187,0.010603416362578666,0.00010576973927759268,0.031043418477973452,0.06124067904172616,,0.01573324871754191,,,0.04756994024009731,,0.00010576973927759268
BW_6__IGH.csv,0.00015223017202009437,,0.06013091794793728,0.06127264423808799,0.006698127568884153,0.00045669051606028315,7.611508601004719e-05,0.03508905465063176,0.007078702998934388,,,0.021007763738773024,,0.03927538438118435,0.02603135941543614,7.611508601004719e-05,0.0025117978383315575,0.02169279951286345,0.020474958136702696,0.012939564621708022,0.007078702998934388,0.016669203836200335,,,0.008524889633125286,0.030522149490028922,7.611508601004719e-05,0.07238544679555488,,0.04483178565991779,0.01621251332014005,0.00030446034404018875,,0.00022834525803014157,7.611508601004719e-05,,0.0038057543005023597,,0.019181001674531892,0.005708631450753539,,,0.03760085248896331,,,,,,0.00243568275232151,,0.0017506469782310853,0.02762977622164713,7.611508601004719e-05,0.0022073374942913684,0.0030446034404018876,0.01925711676054194,,,0.03196833612421982,0.001141726290150708,0.0076876236870147665,0.018572080986451515,0.022910640889024204,0.05860861622773634,0.034327903790531286,,0.06431724767848988,0.007611508601004719,0.00022834525803014157,,0.08509666615923275,,0.03288171715634039,,,,,7.611508601004719e-05
