,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
GH03_W_ZXM1225__IGH.csv,0.00022602956466705846,0.0004972650422675286,0.05985262872383708,0.009041182586682338,0.010080918584150807,0.03281949278965689,0.00022602956466705846,0.03720446634419782,0.003345237557072465,0.00013561773880023506,9.041182586682339e-05,0.03779214321233217,,0.00018082365173364677,0.020252248994168436,9.041182586682339e-05,0.005243885900275756,0.0394647619908684,0.026807106369513133,0.016635775959495502,0.0059219745942769315,0.030559197142986303,,4.520591293341169e-05,0.004701414945074815,0.027937254192848423,0.00018082365173364677,0.05081144613715474,,0.08611726413814927,0.01338095022828986,4.520591293341169e-05,,0.0002712354776004701,9.041182586682339e-05,,0.006871298765878577,,0.016228922743094797,0.006916504678811989,,4.520591293341169e-05,0.019890601690701143,,,,,,0.013742597531757154,0.00013561773880023506,0.002079471994936938,0.020252248994168436,0.00018082365173364677,0.0025315311242710544,0.00320961981827223,0.014465892138691741,,,0.01577686361376068,0.0012205596492021156,0.0056055332037430496,0.027756430541114777,0.031146874011120654,0.0556936847339632,0.020704308123502553,0.0007685005198679988,0.11952443379594051,0.0007685005198679988,4.520591293341169e-05,0.014465892138691741,0.046697708060214276,,0.014737127616292211,,,0.01844401247683197,,4.520591293341169e-05
BW_1__IGH.csv,0.00017895490336435218,0.00044738725841088047,0.06012884753042233,0.009663564781675018,0.012168933428775949,0.04554402290622763,0.0008052970651395849,0.043575518969219754,0.0056370794559770935,,,0.024248389405869722,,0.04393342877594846,0.048138869005010736,0.00017895490336435218,0.01028990694345025,0.025501073729420187,0.01923765211166786,0.011184681460272012,0.0034896206156048676,0.025322118826055832,8.947745168217609e-05,0.0002684323550465283,0.0023264137437365782,0.024427344309234073,8.947745168217609e-05,0.05654974946313529,,0.041159627773801,0.022548317823908374,8.947745168217609e-05,,0.00017895490336435218,8.947745168217609e-05,,0.0033106657122405152,8.947745168217609e-05,0.01467430207587688,0.0076055833929849674,,,0.019327129563350035,,,,,,0.0015211166785969936,,,0.0183428775948461,,0.0015211166785969936,0.0025948460987831067,0.013332140300644238,,,0.027290622763063706,0.0041159627773801,0.0002684323550465283,0.0449176807444524,0.034269863994273446,0.09010379384395133,0.0002684323550465283,0.013153185397279886,0.05941302791696493,0.0076055833929849674,,,0.06522906227630637,,0.010200429491768075,,,0.02335361488904796,,
BW_2__IGH.csv,2.6260504201680674e-05,0.0002888655462184874,0.052048319327731095,0.034926470588235295,0.006171218487394958,0.02022058823529412,0.00015756302521008404,0.038392857142857145,0.0025472689075630253,,,0.0421218487394958,0.006381302521008403,0.0014705882352941176,0.021664915966386554,0.00013130252100840336,0.0015756302521008404,0.0555672268907563,0.004332983193277311,0.006092436974789916,0.003387605042016807,0.019642857142857142,5.252100840336135e-05,7.878151260504202e-05,0.0050945378151260505,0.027521008403361344,,0.050078781512605045,,0.055304621848739494,0.01998424369747899,5.252100840336135e-05,,0.0007352941176470588,7.878151260504202e-05,,0.00391281512605042,,0.010582983193277311,0.0034926470588235296,,0.0001050420168067227,0.01875,,,,2.6260504201680674e-05,,0.004621848739495798,5.252100840336135e-05,0.004044117647058824,0.010189075630252101,0.0001050420168067227,0.003203781512605042,0.0022058823529411764,0.01607142857142857,,,0.02195378151260504,0.0022846638655462186,0.00625,0.12723214285714285,0.02392331932773109,0.05194327731092437,0.01680672268907563,0.0004726890756302521,0.123109243697479,0.010582983193277311,0.0003413865546218487,,0.03550420168067227,,0.012027310924369749,,,0.01404936974789916,2.6260504201680674e-05,
BW_4__IGH.csv,2.0819453697534977e-05,0.0003539307128580946,0.07357594936708861,0.031104263824117254,0.011762991339107262,0.016489007328447703,0.0010826115922718189,0.03283227848101266,0.003351932045303131,2.0819453697534977e-05,,0.05173634243837442,,0.0014990006662225182,0.012970519653564291,,0.002435876082611592,0.01578114590273151,0.014302964690206529,0.009389573617588274,0.002519153897401732,0.012741505662891405,,2.0819453697534977e-05,0.0135118254497002,0.0223809127248501,2.0819453697534977e-05,0.05812791472351766,,0.047947201865423054,0.012866422385076615,,,0.00014573617588274483,8.327781479013991e-05,,0.009847601598934044,,0.010472185209860093,0.005475516322451699,,2.0819453697534977e-05,0.013657561625582945,,,2.0819453697534977e-05,2.0819453697534977e-05,2.0819453697534977e-05,0.00853597601598934,8.327781479013991e-05,0.003705862758161226,0.009847601598934044,8.327781479013991e-05,0.003789140572951366,0.005225682878081279,0.018883244503664225,,,0.011159227181878747,0.00414307128580946,0.006828780812791473,0.04730179880079947,0.03597601598934044,0.1101140906062625,0.01967438374417055,0.00045802798134576947,0.09121002664890074,0.037870586275816125,2.0819453697534977e-05,0.026544803464357097,0.04482428381079281,,0.011013491005996003,,,0.014073950699533645,,2.0819453697534977e-05
BW_5__IGH.csv,0.00012856568903173965,0.0002249899558055444,0.0576295701084773,0.06023302531137003,0.00372840498192045,0.0001928485335476095,0.00024106066693451185,0.039726797910807556,0.0028284451586982726,1.6070711128967456e-05,,0.03442346323824829,,0.02134190437926878,0.02900763358778626,0.0003696263559662515,0.00486942547207714,0.07503415026114905,0.01010847730012053,0.014672559260747288,0.0012053033346725592,0.01263157894736842,,1.6070711128967456e-05,0.004483728404981921,0.0176295701084773,4.821213338690237e-05,0.057838489353153874,1.6070711128967456e-05,0.04417838489353154,1.6070711128967456e-05,,,0.0001446364001607071,3.214142225793491e-05,,0.007103254319003616,,0.012020891924467658,0.003760546404178385,,3.214142225793491e-05,0.010719164323021294,,,3.214142225793491e-05,,,0.002153475291281639,3.214142225793491e-05,0.003101647247890719,0.014672559260747288,,0.0013499397348332664,0.004130172760144636,0.008983527521092808,,,0.03495379670550422,0.0005142627561269586,,,0.04613901165126557,0.09766171153073523,0.05928485335476095,3.214142225793491e-05,0.08969063881076737,0.012181599035757332,0.0001446364001607071,1.6070711128967456e-05,0.07186822016874246,,0.005190839694656489,,,0.021213338690237043,,
BW_17__IGH.csv,0.00010314595152140278,0.00036101083032490973,0.05451263537906137,0.06070139247034554,0.012532233109850438,0.0003094378545642084,,0.022124806601340898,0.002475502836513667,5.157297576070139e-05,,0.015832903558535328,,0.03739040742650851,0.015214027849406911,5.157297576070139e-05,0.003300670448684889,0.03754512635379061,0.015678184631253225,0.012790097988653945,0.006085611139762764,0.013512119649303765,,5.157297576070139e-05,0.0009798865394533265,0.024394017534811758,0.00010314595152140278,0.04847859721505931,,0.08215575038679732,0.02037132542547705,5.157297576070139e-05,,0.002269210933470861,,,0.004951005673027334,,0.013047962867457453,0.0036101083032490976,,,0.017586384734399173,,,,,,0.004280556988138216,0.0001547189272821042,0.00025786487880350697,0.021196493037648274,0.00010314595152140278,0.002269210933470861,0.0033522434244455906,0.011449200618875709,,,0.02480660134089737,0.0037648272305312014,0.012119649303764827,0.0665291387313048,0.05513151108818979,0.09319236719958741,0.03398659102630222,0.00010314595152140278,0.05621454357916452,0.005518308406395049,,0.011346054667354307,0.05038679731820526,,0.01516245487364621,5.157297576070139e-05,,,,
BF__IGH.csv,,,0.06227106227106227,0.05952380952380952,,0.04304029304029304,0.00641025641025641,0.013736263736263736,0.0027472527472527475,,,0.03296703296703297,,,,,0.004578754578754579,,0.016483516483516484,0.05952380952380952,0.0018315018315018315,0.021062271062271064,,,0.003663003663003663,0.0009157509157509158,,0.06135531135531135,,0.10531135531135531,0.014652014652014652,,,,,,0.0027472527472527475,,0.021062271062271064,0.007326007326007326,,,0.020146520146520148,,,,,,0.020146520146520148,,0.008241758241758242,0.021062271062271064,,,,0.022893772893772892,,,,0.008241758241758242,,0.015567765567765568,0.039377289377289376,0.06776556776556776,,0.024725274725274724,0.022893772893772892,0.0173992673992674,,0.04212454212454213,0.06318681318681318,,0.05036630036630037,,,0.014652014652014652,,
BW_9__IGH.csv,,,0.06545082665757627,0.07959775012783364,0.00954491222089654,0.0015340037497869438,0.0001704448610874382,0.043463439577296745,0.01227202999829555,,,0.013465144025907618,,0.0490881199931822,0.050792568604056586,,0.0034088972217487645,0.009033577637634226,0.01244247485938299,0.006306459860235214,0.006306459860235214,0.01534003749786944,,,0.013465144025907618,0.021646497358104654,,0.11828873359468212,,0.060337480824953126,0.020794273052667463,,,0.0008522243054371911,0.0001704448610874382,,0.004261121527185955,,0.01431736833134481,0.003920231805011079,,,0.026078063746378048,,,0.0001704448610874382,,,0.002215783194136697,0.0005113345832623146,0.0001704448610874382,0.018919379580705643,0.0003408897221748764,0.006136014999147775,0.003238452360661326,0.01534003749786944,,,0.028123402079427304,0.0020453383330492586,0.0035793420828362024,0.014658258053519686,0.012101585137208113,0.0557354695755923,0.024373615135503665,,0.06204192943582751,0.00954491222089654,0.0001704448610874382,,0.073120845406511,,0.004942900971535708,,,0.0001704448610874382,,
BW_CT0530__IGH.csv,0.00018044678624273703,0.0005052510014796637,0.07008553177667906,0.005882565231513227,0.009635858385362156,0.04525605398967844,0.00036089357248547405,0.03529539138907936,0.0031758634378721714,3.60893572485474e-05,3.60893572485474e-05,0.023638528997798548,,0.020967916561406043,0.019055180627233027,7.21787144970948e-05,0.004872063228553899,0.05167995957991988,0.01919953805622722,0.009996751957847631,0.0023097188639070337,0.02905193258508066,,,0.003428488938612003,0.01970478905770688,,0.03883214839943701,,0.04976722364574687,0.01959652098596124,3.60893572485474e-05,,0.00043307228698256884,3.60893572485474e-05,,0.001876646576924465,,0.012126024035511928,0.005918654588761774,,7.21787144970948e-05,0.013136526038471255,,,,3.60893572485474e-05,7.21787144970948e-05,0.009347143527373777,0.00021653614349128442,0.001624021076184633,0.023963333213035475,0.00032480421523692663,0.002851059222635245,0.004366812227074236,0.01097116460355841,,,0.015951495903857953,0.003645025082103288,0.004547259013316973,0.04637482406438341,0.05597459309249702,0.05785123966942149,0.0012270381464506118,0.014832725829152982,0.07777256487061965,0.010862896531812768,0.00010826807174564221,0.027608358295138764,0.05741816738243892,,0.014977083258147172,,,0.04070879497636147,,0.00010826807174564221
BW_6__IGH.csv,0.0001799370220422852,,0.060008996851102114,0.05991902834008097,0.006297795771479982,0.000449842555105713,8.99685110211426e-05,0.03472784525416105,0.006837606837606838,,,0.01979307242465137,,0.04111560953666217,0.026540710751237068,8.99685110211426e-05,0.0027890238416554206,0.020332883490778227,0.018533513270355375,0.012865497076023392,0.007017543859649123,0.016824111560953665,,,0.008906882591093117,0.0310391363022942,8.99685110211426e-05,0.07404408457040036,,0.04588394062078273,0.016824111560953665,0.0002699055330634278,,0.0002699055330634278,8.99685110211426e-05,,0.003958614484930275,,0.020152946468735944,0.0053081421502474135,,,0.03805668016194332,,,,,,0.002519118308591993,,0.001799370220422852,0.027890238416554206,8.99685110211426e-05,0.0024291497975708503,0.003418803418803419,0.019163292847503375,,,0.03256860098965362,0.001349527665317139,0.007557354925775978,0.018893387314439947,0.02420152946468736,0.06009896536212326,0.03535762483130904,,0.06648672964462438,0.00791722896986055,0.0002699055330634278,,0.08169140800719749,,0.026900584795321637,,,,,8.99685110211426e-05
