,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
BW_5__IGL.csv,0.007779192735728919,0.0954542937821826,0.0003045235590498865,0.045124854659210456,0.04349150102430652,0.00013841979956813022,0.10965616521787276,,0.022811582968827862,0.03471568573168706,0.07084325341896905,0.003515862909030508,0.045207906538951334,5.536791982725209e-05,,,0.0010519904767177896,0.14088367200044294,0.020762969935219533,0.017662366424893418,0.00013841979956813022,,0.0016610375948175628,0.02386357344554565,,0.07737666795858479,2.7683959913626046e-05,0.12504844692984884,,0.004595537345661924,,2.7683959913626046e-05,0.002463872432312718,0.0009966225568905375,0.018520569182215823,0.0139250318365539,0.0014395659155085542,0.0172194230662754,0.0002491556392226344,0.0011073583965450417,0.017662366424893418,,0.004429433586180167,0.003543546868944134,0.019489507779192734,0.006256574940479486,0.0004983112784452688
BW_6__IGL.csv,0.004151417490577375,0.11148740918774239,0.0001638717430491069,0.060414049270770744,0.037362757415196374,0.0003277434860982138,0.09417162833888676,,0.022887420112525262,0.062052766701261815,0.17441415851859945,0.003932921833178566,0.03506855301250888,,,,0.0015294696017916643,0.0570273665810892,0.039493090074834765,0.003113563117933031,0.0003277434860982138,,0.0020757087452886874,0.05866608401158027,,0.03594253564210411,0.0004369913147976184,0.05915769924072759,,0.020811711367236575,,0.0001638717430491069,0.0022942044026874964,0.0001638717430491069,0.02184956573988092,0.03064401595018299,0.0012017261156934507,0.007701971923308024,,0.0022395804883377944,0.03594253564210411,,0.00404216966187797,0.004861528377123505,0.0006008630578467253,0.0028404435461845197,0.0004369913147976184
BW_7__IGL.csv,0.0031201248049922,0.2420696827873115,0.0001950078003120125,0.07540301612064483,0.028796151846073842,0.0004550182007280291,0.03061622464898596,,0.0562922516900676,0.030356214248569942,0.14950598023920958,0.014950598023920956,0.043551742069682785,,,,,0.06058242329693188,0.01358554342173687,0.003965158606344254,0.0004550182007280291,,0.0020800832033281333,0.05187207488299532,,0.01859074362974519,0.0003250130005200208,0.046801872074883,0.00013000520020800833,0.005395215808632345,,,0.0006500260010400416,6.500260010400417e-05,0.00656526261050442,0.014950598023920956,0.0025351014040561623,0.008060322412896516,6.500260010400417e-05,0.0017550702028081124,0.04472178887155486,,0.005200208008320333,0.014040561622464899,0.02002080083203328,0.0022750910036401454,
BW_8__IGL.csv,0.0009523242664127136,0.2652818284625915,0.0005356823998571514,0.029700613058746505,0.06386524611630261,0.00041664186655556215,0.06547229331587405,,0.017201357062079637,0.041247544789000654,0.12493303970001786,0.005952026665079459,0.046425807987619784,,,,0.0010713647997143028,0.023391464793762275,0.05374680078566752,0.0385691327897149,0.001011844533063508,,0.0002380810666031784,0.04963990238676269,,0.014582465329444676,5.95202666507946e-05,0.031545741324921134,,0.02541515385988929,,0.00029760133325397296,0.0006547229331587405,0.0005952026665079459,0.0011904053330158918,0.006071067198381049,0.0004761621332063568,0.0019046485328254271,0.0001785607999523838,0.0022022498660794,0.04106898398904827,,0.004344979465508005,0.006190107731682638,0.030712457591810013,0.002797452532587346,5.95202666507946e-05
BW_11__IGL.csv,0.002444328964335893,0.08913139711684662,0.00042342706468810745,0.0793348345747445,0.05421791096483631,0.0006543872817907115,0.16159516523278866,,0.057624574167099714,0.034644032565390614,0.10083338145004522,0.008949708412725908,0.029312700887272166,1.924668475855034e-05,,,0.0009815809226860672,0.044113401466597375,0.042881613642050155,0.018303597205381373,0.00015397347806840272,,0.0006543872817907115,0.0481359585811344,,0.04830917874396135,1.924668475855034e-05,0.06218603845487615,,0.0067363396654926185,,5.774005427565102e-05,0.0025213157033700945,0.00021171353234405372,0.008256827761418097,0.021267586658198126,0.001924668475855034,0.0035221433108147122,0.00017322016282695306,0.0011163077159959196,0.03346998479511904,,0.004503724233500779,0.010662663356236888,0.013876859710914794,0.006563119502665666,0.00021171353234405372
BW_12__IGL.csv,0.00284520636749982,0.08333933587841244,0.000540229057120219,0.06205431102787582,0.05114168407404739,0.0003241374342721314,0.11442051429806238,,0.030865086796801843,0.05330260030252827,0.12889865302888426,0.006122595980695815,0.03781603399841533,,,,0.0015126413599366132,0.08920982496578549,0.042462003889649214,0.012173161420442268,0.00018007635237340632,,0.004357847727436433,0.06234243319167327,,0.024670460275156667,0.00028812216379745014,0.05463516531009148,3.601527047468127e-05,0.007239069365410934,,0.0001080458114240438,0.007923359504429878,0.0006482748685442628,0.00738313044730966,0.026255132176042643,0.0010444428437657567,0.010012245191961392,7.203054094936253e-05,0.0008643664913923504,0.03205359072246632,7.203054094936253e-05,0.008175466397752648,0.008571634372974141,0.023445941079017502,0.0025210689332276887,7.203054094936253e-05
BW_13__IGL.csv,0.0033142128744423197,0.06666666666666667,0.0005353728489483748,0.07783301465901848,0.06630975143403442,0.0005353728489483748,0.15405991077119185,,0.002090503505417463,0.07762906309751434,0.14406628425748885,0.006806883365200765,0.03173996175908222,,,,0.0009432759719566603,0.0811472275334608,0.04958572339069471,0.017386870618228172,0.0002804333970681963,,0.002345442957297642,0.03798597833014659,,0.028935627788400253,0.0006118546845124283,0.038648820905035054,,0.00461440407903123,,0.0008922880815806246,0.0027533460803059275,0.00030592734225621415,0.007775653282345443,0.02192479286169535,0.0003824091778202677,0.00650095602294455,5.098789037603569e-05,0.0006118546845124283,0.02554493307839388,2.5493945188017844e-05,0.005838113448056087,0.017947737412364564,0.010987890376035692,0.004257488846398981,0.00012746972594008922
BW_14__IGL.csv,0.0039986510574745865,0.05087440381558029,0.000770824300236065,0.0682661270896565,0.05212699330346389,0.00024088259382377028,0.11928506046153105,,0.003131473719709014,0.05174158115334586,0.1580189815483933,0.0025051789757672112,0.04022739316856964,,,,0.000867177337765573,0.07207207207207207,0.04128727658139423,0.011417834947246712,0.00019270607505901625,,0.0006744712627065569,0.0570409982174688,,0.024425495013730307,0.0010117068940598353,0.07197571903454257,,0.005154887507828684,,0.00028905911258852437,0.004095004095004095,0.00033723563135327843,0.0014452955629426219,0.03276003276003276,0.00154164860047213,0.0021197668256491787,,0.00048176518764754057,0.06142506142506143,4.817651876475406e-05,0.010309775015657368,0.042539866069277836,0.000867177337765573,0.004287710170063111,0.00014452955629426219
BF__IGL.csv,,0.06140350877192982,0.0007017543859649122,0.08491228070175438,0.022105263157894735,,0.09754385964912281,,0.23719298245614034,0.03614035087719298,0.08982456140350877,,0.03263157894736842,,,,0.0017543859649122807,0.07789473684210527,0.021052631578947368,0.014385964912280702,0.002456140350877193,,0.0014035087719298245,0.04666666666666667,,0.08,0.0010526315789473684,0.028771929824561403,,0.0014035087719298245,,,0.006666666666666667,0.0010526315789473684,,0.01368421052631579,,0.015438596491228071,,,0.016842105263157894,,,0.005263157894736842,0.0017543859649122807,,
BW_10__IGL.csv,0.005838249754178957,0.08880285152409047,0.0002458210422812193,0.06861479842674532,0.04470870206489676,0.0004916420845624386,0.13089970501474926,,0.012782694198623401,0.059273598820059,0.14715462143559488,0.026179941002949854,0.03432276302851524,,,3.072763028515241e-05,0.0010754670599803344,0.036135693215339236,0.043448869223205504,0.004824237954768928,0.0003994591937069813,,0.0010754670599803344,0.046613815142576204,,0.021847345132743362,0.00015363815142576203,0.0433259587020649,,0.007159537856440511,,9.218289085545723e-05,0.0007681907571288103,0.0006145526057030481,0.04836529006882989,0.06096361848574238,0.000829646017699115,0.0020587512291052115,3.072763028515241e-05,0.0012905604719764012,0.036780973451327435,,0.0043018682399213375,0.014441986234021632,0.0011676499508357916,0.0027962143559488693,9.218289085545723e-05
iRNormal_097__IGL.csv,0.002066400330624053,0.1297699407631905,0.0035817605730816917,0.05014464802314368,0.023694723791155805,0.00013776002204160352,0.2153189144510263,,0.013224962115993938,0.025898884143821462,0.14244386279101803,0.0035817605730816917,0.05276208844193415,,,,0.008541121366579418,0.02383248381319741,0.02259264361482298,0.0024796803967488635,0.0012398401983744318,,0.0035817605730816917,0.061303209808513566,,0.05345088855214217,0.00013776002204160352,0.061303209808513566,,0.0027552004408320707,,0.0005510400881664141,0.0012398401983744318,0.0009643201542912247,0.013224962115993938,0.01446480231436837,0.013638242182118749,0.008541121366579418,0.0005510400881664141,0.0008265601322496211,0.0352665656426505,0.00013776002204160352,0.0005510400881664141,0.0027552004408320707,0.0016531202644992423,0.0011020801763328282,0.0006888001102080177
