,TRAV14DV4;TRDJ1,TRAV14DV4;TRDJ2,TRAV14DV4;TRDJ3,TRAV23DV6;TRDJ1,TRAV23DV6;TRDJ2,TRAV23DV6;TRDJ3,TRAV23DV6;TRDJ4,TRAV29DV5;TRDJ1,TRAV29DV5;TRDJ2,TRAV29DV5;TRDJ3,TRAV29DV5;TRDJ4,TRAV36DV7;TRDJ1,TRAV36DV7;TRDJ2,TRAV36DV7;TRDJ3,TRAV36DV7;TRDJ4,TRAV38-2DV8;TRDJ1,TRAV38-2DV8;TRDJ2,TRAV38-2DV8;TRDJ3,TRAV38-2DV8;TRDJ4,TRDV1;TRDJ1,TRDV1;TRDJ2,TRDV1;TRDJ3,TRDV1;TRDJ4,TRDV2;TRDJ1,TRDV2;TRDJ2,TRDV2;TRDJ3,TRDV2;TRDJ4,TRDV3;TRDJ1,TRDV3;TRDJ2,TRDV3;TRDJ3,TRDV3;TRDJ4
BW_16__TRD.csv,0.001094776352830779,,,0.0006255864873318737,,,,0.004848295276822021,0.00015639662183296842,0.00015639662183296842,,0.0017203628401626526,,,,0.011416953393806694,0.00015639662183296842,0.00015639662183296842,0.00015639662183296842,0.4558961526431029,0.017985611510791366,0.0029715358148264,0.0032843290584923367,0.2668126368470441,0.00390991554582421,0.06662496090084455,0.00046918986549890525,0.15514544885830467,0.005161088520487958,0.001094776352830779,0.00015639662183296842
BW_11__TRD.csv,0.0015037593984962407,,,0.0005012531328320802,,,,0.015538847117794486,0.0005012531328320802,,,0.0015037593984962407,,,,0.006516290726817042,,,,0.44661654135338347,0.0912280701754386,0.004511278195488722,0.002506265664160401,0.22957393483709274,0.0020050125313283208,0.014536340852130326,,0.17894736842105263,0.0005012531328320802,0.0035087719298245615,
BW_12__TRD.csv,0.006389776357827476,0.0010649627263045794,0.0010649627263045794,0.002129925452609159,0.0010649627263045794,0.003194888178913738,,0.012779552715654952,,0.0010649627263045794,,0.006389776357827476,,,,0.012779552715654952,0.0010649627263045794,,,0.4845580404685836,0.009584664536741214,0.006389776357827476,0.002129925452609159,0.1597444089456869,,0.03194888178913738,,0.25452609158679446,,0.002129925452609159,
BW_13__TRD.csv,0.0018885741265344666,,,0.0009442870632672333,,,,0.03210576015108593,,,,0.0009442870632672333,,,,0.0066100094428706326,,,,0.4702549575070821,0.0018885741265344666,0.380547686496695,,0.06043437204910293,0.004721435316336166,0.025495750708215296,,0.014164305949008499,,,
BW_14__TRD.csv,,,,,,,,0.02564102564102564,,,,,,,,0.008547008547008548,,,,0.6923076923076923,0.008547008547008548,,0.008547008547008548,0.13675213675213677,,0.02564102564102564,,0.06837606837606838,0.017094017094017096,0.008547008547008548,
BW_15__TRD.csv,0.0005649717514124294,,,,,,,0.046045197740112995,,,,,,,,0.002824858757062147,0.0002824858757062147,,0.0002824858757062147,0.47994350282485876,0.0022598870056497176,0.38785310734463274,0.0005649717514124294,0.044915254237288135,0.0014124293785310734,0.0192090395480226,,0.01384180790960452,,,
BF__TRD.csv,0.004658385093167702,,,,,,,0.021739130434782608,,,,0.004658385093167702,,,,0.015527950310559006,,,,0.5248447204968945,0.012422360248447204,,,0.33229813664596275,0.009316770186335404,0.027950310559006212,,0.046583850931677016,,,
BW_10__TRD.csv,0.0042158516020236085,,,0.0016863406408094434,,,,0.01854974704890388,,0.0008431703204047217,,0.0008431703204047217,,,,0.006745362563237774,,0.0008431703204047217,,0.602866779089376,0.011804384485666104,0.0042158516020236085,0.0008431703204047217,0.1543001686340641,0.0008431703204047217,0.05986509274873524,,0.12478920741989882,0.0042158516020236085,0.0016863406408094434,0.0008431703204047217
iRNormal_088_R__TRD.csv,0.0019588638589618022,0.0009794319294809011,,0.004897159647404506,,0.0009794319294809011,,0.02056807051909892,,,,,,,,0.22037218413320275,,0.040156709108716944,,0.3555337904015671,0.011753183153770812,0.005876591576885406,,0.22037218413320275,0.005876591576885406,0.02840352595494613,,0.03623898139079334,0.0009794319294809011,0.04505386875612145,
LFJ__TRD.csv,0.0022068095838587644,,,0.0015762925598991173,,0.0009457755359394704,0.0006305170239596469,0.010403530895334174,0.00031525851197982345,,0.00031525851197982345,0.0028373266078184113,,,,0.005989911727616645,,0.0006305170239596469,,0.6551071878940732,0.02711223203026482,0.007566204287515763,0.007881462799495587,0.20145018915510718,0.0037831021437578815,0.03215636822194199,0.0009457755359394704,0.035939470365699874,0.0009457755359394704,0.0009457755359394704,0.00031525851197982345
SS03F_W_1_HJ__TRD.csv,0.00816326530612245,,,0.0020408163265306124,,,,0.024489795918367346,,,,,,,,0.004081632653061225,,,,0.32653061224489793,0.014285714285714285,0.004081632653061225,0.0020408163265306124,0.5306122448979592,,0.053061224489795916,,0.030612244897959183,,,
WDM__TRD.csv,0.0024174053182917004,,,0.0016116035455278,,0.0008058017727639,0.0008058017727639,0.008058017727639,0.0008058017727639,,,,,,0.0016116035455278,0.004834810636583401,,,,0.45044319097502017,0.007252215954875101,0.0040290088638195,0.0064464141821112,0.34004834810636586,0.0056406124093473006,0.088638195004029,,0.0757453666398066,,0.0008058017727639,
WGF__TRD.csv,0.008373732921992068,0.00044072278536800354,,0.003966505068312032,,0.00044072278536800354,0.00044072278536800354,0.013662406346408109,0.00044072278536800354,0.0013221683561040105,,0.0017628911414720142,,,,0.00617011899515205,,0.00044072278536800354,,0.255619215513442,0.008373732921992068,0.00881445570736007,0.003966505068312032,0.5592772146319964,0.007051564565888057,0.06302335830762451,0.00044072278536800354,0.04847950639048039,0.003085059497576025,0.003966505068312032,0.00044072278536800354
WJW__TRD.csv,0.0007867820613690008,,,0.004720692368214005,,,,0.1038552321007081,,,,0.003147128245476003,,,,,,,,0.0983477576711251,0.003933910306845004,0.004720692368214005,,0.27143981117230526,0.0055074744295830055,0.024390243902439025,,0.47915027537372146,,,
HL_W_XQF1225__TRD.csv,0.0004415011037527594,,0.0004415011037527594,0.0030905077262693157,,,,0.015894039735099338,0.0004415011037527594,0.0004415011037527594,0.0004415011037527594,0.0013245033112582781,,,,0.013686534216335542,0.0008830022075055188,0.0004415011037527594,0.0004415011037527594,0.4357615894039735,0.01545253863134658,0.05739514348785872,0.006622516556291391,0.33200883002207504,0.003532008830022075,0.031788079470198675,,0.07417218543046358,0.0026490066225165563,0.0013245033112582781,0.0013245033112582781
JGR__TRD.csv,0.026217228464419477,,,0.003745318352059925,,,,0.04868913857677903,,,,0.00749063670411985,,0.003745318352059925,,0.011235955056179775,,,,0.3970037453183521,0.033707865168539325,0.003745318352059925,,0.35580524344569286,,0.052434456928838954,,0.0449438202247191,0.011235955056179775,,
