,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
BW_13__TRG.csv,,,0.24455296769346357,0.19534184823441023,0.1258452291510143,0.08302028549962434,0.0011269722013523666,,0.022539444027047332,0.09879789631855748,0.22877535687453043
BW_14__TRG.csv,,,0.15680473372781065,0.07692307692307693,0.20710059171597633,0.1242603550295858,,,0.05917159763313609,0.27218934911242604,0.10355029585798817
BW_15__TRG.csv,,,0.25765785690589404,0.23111799181687492,0.10737587083932323,0.06955656308747098,0.00011058277120424638,,0.013601680858122304,0.0777396881565852,0.24283976556452505
BF__TRG.csv,,,0.39057591623036647,0.030366492146596858,0.1068062827225131,0.05654450261780105,0.0020942408376963353,,0.030366492146596858,0.02617801047120419,0.35706806282722514
iRNormal_088_R__TRG.csv,0.00019376089905057158,,0.28560356520054253,0.07014144545630692,0.2776593683394691,0.1023057546987018,,,0.035845766324355745,0.06723503197054834,0.161015307111025
WJW__TRG.csv,,,0.18455158113011924,0.11456713322965267,0.31829963711767756,0.07879730430274753,,,0.011923276308968377,0.0321410057024365,0.25972006220839816
LFJ__TRG.csv,,,0.17802303262955854,0.0873320537428023,0.20665387076135636,0.09149072296865003,0.0017594369801663468,,0.019673704414587333,0.06781829814459372,0.34724888035828533
SS03F_W_1_HJ__TRG.csv,,,0.15879065040650406,0.08409552845528455,0.24847560975609756,0.10899390243902439,0.0007621951219512195,,0.007113821138211382,0.03988821138211382,0.351880081300813
WDM__TRG.csv,,,0.21158557927896396,0.12845642282114106,0.15803290164508224,0.05950297514875744,0.001400070003500175,,0.014350717535876793,0.048827441372068604,0.37784389219460973
WGF__TRG.csv,,,0.11175616835994194,0.1285921625544267,0.17242380261248186,0.07706821480406387,0.00362844702467344,,0.01741654571843251,0.06850507982583454,0.4206095791001451
HL_W_XQF1225__TRG.csv,0.00022964749110115972,,0.24158916063842004,0.09794465495464462,0.23573314961534045,0.0649902399816282,0.000803766218854059,,0.021012745435756115,0.08083591686760822,0.2568607187966471
JGR__TRG.csv,0.0010449320794148381,,0.16300940438871472,0.1619644723092999,0.2612330198537095,0.0961337513061651,0.0010449320794148381,,0.022988505747126436,0.06583072100313479,0.22675026123301986
