,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
GH03_W_HNY1228__TRG.csv,,,0.000244081034903588,,,0.09006590187942397,0.002928972418843056,0.007078350012204052,0.030754210397852085,0.12106419331217964,0.000732243104710764,0.000488162069807176,0.03880888454967049,0.1257017329753478,0.000976324139614352,0.009030998291432755,0.005613863802782524,0.07420063461069075,0.000244081034903588,0.003905296558457408,0.000976324139614352,0.000976324139614352,0.000244081034903588,0.000488162069807176,,,0.06809860873810104,0.000244081034903588,0.005125701732975348,0.00122040517451794,0.08494020014644862,0.000732243104710764,0.005613863802782524,0.004393458628264584,0.18794239687576275,0.1217964364168904,0.003905296558457408,0.001464486209421528
GH03_W_LXZ1225__TRG.csv,,,0.00015644555694618273,,,0.1376720901126408,0.0007822277847309136,0.009543178973717146,0.04740300375469337,0.08103879849812265,,0.004380475594493116,0.006257822277847309,0.16645807259073842,0.015644555694618274,0.005319148936170213,0.08714017521902379,0.061639549436796,0.00015644555694618273,0.0018773466833541927,0.0006257822277847309,0.0014080100125156445,0.00015644555694618273,,,,0.024561952440550688,,0.001095118898623279,,0.03754693366708386,0.0012515644555694619,0.006257822277847309,0.0061013767209011265,0.1694305381727159,0.11905506883604505,0.005944931163954944,0.001095118898623279
BW_17__TRG.csv,,,,,,0.18691049085659286,0.0005774783445620789,0.01289701636188643,0.07603464870067372,0.07179980750721848,0.00019249278152069297,0.00038498556304138594,0.023099133782483156,0.12473532242540905,,0.0021174205967276227,0.0028873917228103944,0.04427333974975938,,0.0007699711260827719,0.01231953801732435,0.00019249278152069297,,,,,0.023099133782483156,,0.00019249278152069297,0.004042348411934553,0.07699711260827719,,0.0021174205967276227,0.004042348411934553,0.06275264677574591,0.26679499518768046,0.00038498556304138594,0.00038498556304138594
BW_1__TRG.csv,,,,,,0.07907483652216032,0.0002421893921046258,0.011140712036812788,0.04432065875514653,0.11467667716154033,0.0031484620973601355,0.0009687575684185032,0.032816662630176796,0.15270041172196658,,0.007265681763138775,0.10438362799709373,0.1173407604746912,0.0002421893921046258,0.001332041656575442,0.0021797045289416324,0.0007265681763138775,,0.0002421893921046258,,,0.024703317994671833,,0.0019375151368370065,0.00036328408815693874,0.04795349963671591,,0.001453136352627755,0.001453136352627755,0.08234439331557278,0.1625090821022039,0.0037539355776217004,0.0007265681763138775
BW_2__TRG.csv,,,,,0.0007342143906020558,0.16642192853646598,0.0002447381302006853,0.0034263338228095936,0.041605482134116495,0.13485070974057758,,0.0017131669114047968,0.0026921194322075378,0.3534018600097895,,0.0053842388644150755,0.0031815956926089083,0.03768967205090553,,0.0004894762604013706,0.0007342143906020558,0.0002447381302006853,,,,,0.026676456191874694,,,0.0004894762604013706,0.12726382770435635,,0.0017131669114047968,0.0014684287812041115,0.048458149779735685,0.03720019579050416,0.003671071953010279,0.0002447381302006853
BW_4__TRG.csv,,,0.00017105713308244953,,,0.17499144714334589,0.0005131713992473486,0.0059869996578857335,0.056962025316455694,0.06055422511118714,,0.008552856654122478,0.0189873417721519,0.238966814916182,0.0005131713992473486,0.007013342456380431,0.008894970920287376,0.1111871365035922,0.00017105713308244953,0.0010263427984946972,0.001539514197742046,0.00034211426616489907,,,,,0.037290455011974,,0.0011973999315771468,0.0008552856654122477,0.09921313718782074,,0.0023947998631542937,0.005302771125555936,0.08416010947656517,0.06568593910366062,0.006329113924050633,0.0011973999315771468
BW_16__TRG.csv,,,,,,0.15120879120879122,0.0005274725274725274,0.016175824175824177,0.1295824175824176,0.05010989010989011,0.00035164835164835164,0.0032527472527472527,0.03586813186813187,0.133010989010989,8.791208791208791e-05,0.002989010989010989,0.01520879120879121,0.032527472527472526,,0.002285714285714286,0.0006153846153846154,0.00017582417582417582,,8.791208791208791e-05,,,0.027692307692307693,8.791208791208791e-05,0.009758241758241758,0.011868131868131869,0.03578021978021978,0.00035164835164835164,0.006417582417582417,0.052395604395604395,0.08764835164835165,0.16852747252747252,0.01134065934065934,0.014065934065934066
BW_8__TRG.csv,,,0.0005995203836930455,,,0.15407673860911272,0.002398081534772182,0.014388489208633094,0.0539568345323741,0.1354916067146283,,0.02817745803357314,0.002398081534772182,0.13129496402877697,,0.01498800959232614,0.0035971223021582736,0.07733812949640288,,0.001199040767386091,,,,,,,0.03237410071942446,,0.0005995203836930455,,0.1366906474820144,0.0017985611510791368,0.0035971223021582736,0.002997601918465228,0.18405275779376498,0.01618705035971223,0.0005995203836930455,0.001199040767386091
BW_9__TRG.csv,,,,,,0.28159126365054604,,0.014820592823712949,0.031981279251170044,0.0842433697347894,0.0015600624024961,0.00234009360374415,0.0039001560062402497,0.15288611544461778,,0.0015600624024961,0.0015600624024961,0.062402496099843996,,0.0070202808112324495,0.0039001560062402497,,0.0015600624024961,,,,0.0873634945397816,,,,0.07098283931357255,,0.00078003120124805,0.0046801872074883,0.12480499219968799,0.05850234009360374,0.0015600624024961,
BW_5__TRG.csv,,,,,0.00016414970453053183,0.15085357846355876,0.001969796454366382,0.1025935653315824,0.03906762967826658,0.048588312541037425,0.00016414970453053183,0.0006565988181221273,0.0027905449770190415,0.15298752462245568,0.0004924491135915955,0.008371634931057125,0.015101772816808929,0.14724228496388705,0.00016414970453053183,0.0013131976362442547,0.0016414970453053185,0.0008207485226526593,,0.00032829940906106366,,,0.07206172028890348,,0.00032829940906106366,0.0004924491135915955,0.07189757058437295,0.00032829940906106366,0.0026263952724885093,0.012967826657912017,0.1057124097176625,0.05712409717662508,0.0004924491135915955,0.0006565988181221273
