,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ15,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ51,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ60,TRAJ61,TRAJ7,TRAJ8,TRAJ9
GH03_W_LXZ1225__TRA.csv,8.867292106336567e-06,0.0244914607977016,0.013229999822654158,0.019100147197048965,0.025502332097823967,8.867292106336567e-06,0.020811534573571922,0.017637043999503433,0.016342419351978294,0.008078103108872612,,,0.03094684945111462,0.01668824374412542,0.02325003990281448,0.027621614911238407,0.00591448383492649,1.7734584212673135e-05,0.012343270612020502,0.01895827052334758,0.012405341656764856,0.02157412169471687,0.023072694060687748,0.02254952382641389,0.0030592157766861157,0.012520616454147232,0.03493713089896607,0.032613900367105896,0.005967687587564509,0.012236863106744463,0.023338712823877845,0.007049497224537571,0.021379041268377464,0.02009328391295866,0.021396775852590137,0.011323532019791796,0.03653324347810666,0.03255182932236154,0.02045684288931846,0.021059818752549347,0.0007537198290386082,0.01283983896997535,0.03958359196268643,0.027568411158600387,0.019915938070831928,0.006304644687605299,8.867292106336567e-06,0.033518364161952224,0.027364463440154644,0.01885186301807154,0.01381524110167237,0.014524624470179296,0.011527479738237537,,0.04047032117332009,8.867292106336567e-06,7.093833685069254e-05,0.007741146008831823,0.017743451504779472,0.030317271711564724
GH03_W_ZXM1225__TRA.csv,,0.0187285900975093,0.010477803295675103,0.006240285800450043,0.022216036065294886,7.732696159169817e-06,0.019865296432907263,0.012194461843010802,0.019764771382838053,0.009194175733252914,,7.732696159169817e-06,0.028525916131177456,0.013802862644118124,0.018921907501488543,0.01743722983892794,0.0032554650830104934,7.732696159169818e-05,0.01357088175934303,0.021380904880104547,0.019385869271038733,0.017282575915744544,0.028286202550243195,0.022795988277232622,0.003935942345017437,0.011730500073460614,0.05240448187069385,0.02240162077311496,0.007237803604982949,0.012488304297059256,0.033722287950139575,0.009998376133806575,0.022301095723045755,0.007871884690034874,0.0602840992568879,0.011181478646159556,0.029863672566713836,0.03434863633903233,0.020963339287509375,0.021829401257336397,0.0009356562352595479,0.008714748571384384,0.07638357266027945,0.027366011707301983,0.012619760131765143,0.005621670107716458,,0.027520665630485382,0.023917229220312246,0.01948639432110794,0.009843722210623178,0.011243340215432916,0.01314558347058869,,0.027520665630485382,2.319808847750945e-05,5.4128873114188724e-05,0.005204104515121287,0.01568964050695556,0.028726966231315872
BW_1__TRA.csv,,0.03277022735932936,0.027043905330454296,0.007059994072568695,0.012415851644862187,1.0584698759473305e-05,0.008573605995173378,0.00624497226808925,0.01399297176002371,0.004646682755408781,,1.0584698759473305e-05,0.07916296202210085,0.007705660696896566,0.01002370972522122,0.01524196621364156,0.003429442398069351,8.467759007578644e-05,0.012331174054786401,0.007335196240315001,0.011939540200685888,0.025794910876836444,0.008785299970362844,0.009970786231423853,0.0024979889072357002,0.010140141411575427,0.011643168635420635,0.012193572970913247,0.005588720945001905,0.008457174308819171,0.024027266184004404,0.007716245395656039,0.01517845802108472,0.00890173165671705,0.016056988018121006,0.00624497226808925,0.03355349506753038,0.009378043100893348,0.007843261780769719,0.013506075617087937,0.00037046445658156567,0.004117447817435116,0.020005080655404548,0.013601337905923197,0.32761759600321777,0.0036305516744993436,8.467759007578644e-05,0.014405775011643168,0.020925949447478723,0.008065540454718658,0.004826622634319828,0.010457682374359626,0.011907786104407469,,0.020671916677251365,4.233879503789322e-05,2.116939751894661e-05,0.00374698336085355,0.01155849104534485,0.026440577501164318
BW_2__TRA.csv,,0.01779201577131592,0.009561360275998028,0.005618531296205027,0.019172005914243468,,0.014514539181862986,0.008427796944307541,0.01350418925579103,0.010571710202069986,,,0.027747658945293248,0.015377033021192706,0.01646131099063578,0.016165598817151305,0.004189255791030064,2.464268112370626e-05,0.015919172005914244,0.010620995564317398,0.012863479546574668,0.02535731887629374,0.012419911286347955,0.020527353376047313,0.0032774765894529323,0.011039921143420403,0.027378018728437654,0.018482010842779693,0.007861015278462297,0.025036964021685558,0.031074420896993592,0.00803351404632824,0.023952686052242485,0.006973878758008871,0.022621981271562345,0.006407097092163627,0.03023656973878758,0.0137752587481518,0.04191720059142435,0.03008871365204534,0.0003449975357318876,0.009339576145884673,0.03846722523410547,0.02555446032528339,0.01271562345983243,0.006209955643173977,,0.03560867422375554,0.041128634795465746,0.06586988664366683,0.04738787580088714,0.015130606209955643,0.023410547067520947,,0.04260719566288812,,2.464268112370626e-05,0.005298176441596846,0.011384918679152293,0.034524396254312466
BW_4__TRA.csv,,0.019127669241253975,0.00819324549447221,0.004982583674087536,0.02719975768590035,,0.013463577161896109,0.007526881720430108,0.00963198546115402,0.007314856883234893,,,0.026079054975011357,0.012479176132061185,0.016477358776313795,0.01629562320157504,0.008889898530970771,1.5144631228229593e-05,0.03675601999091322,0.02268665757988793,0.013978494623655914,0.017991821899136756,0.024398000908677872,0.02270180221111616,0.0019082235347569287,0.012782068756625777,0.02898682417083144,0.04522186884749357,0.004558533999697107,0.010449795547478418,0.0256398606693927,0.006042707860063608,0.018037255792821446,0.016628805088596092,0.038467363319703164,0.005648947448129638,0.04135998788429502,0.011752233833106163,0.024337422383764955,0.027850976828714222,0.0007117976677267909,0.009435105255187036,0.03127366348629411,0.020975314251097985,0.025397546569741025,0.005012872936543995,,0.08776313796759048,0.03615023474178404,0.013857337573830078,0.009828865667121005,0.016098742995608057,0.02147508708162956,,0.03133424201120703,3.0289262456459185e-05,3.0289262456459185e-05,0.00892018779342723,0.023353021353930033,0.022489777373920945
BW_CT0530__TRA.csv,,0.03575030617390678,0.01269721201642533,0.01096822995461422,0.022638858871839206,,0.04169368201138247,0.013273539370362367,0.018010229810532383,0.012102874432677761,,3.602045962106476e-05,0.029086521144009798,0.01572293062459477,0.019793242561775087,0.02283697139975506,0.010445933290108782,5.403068943159715e-05,0.01745191268640588,0.018262373027879836,0.01752395360564801,0.023395288523881563,0.01790216843166919,0.023395288523881563,0.0031157697572221023,0.013705784885815144,0.03340897629853757,0.02977090987681003,0.008446797781139687,0.013741805345436208,0.030959585044305165,0.007888480657013183,0.042756285570203875,0.01790216843166919,0.027843815287083063,0.00891506375621353,0.03360708882645343,0.020297528996469996,0.01783012751242706,0.027627692529356675,0.0009185217203371515,0.013165477991499171,0.025052229666450543,0.03229234205028456,0.03198616814350551,0.0063396008933073985,,0.024890137598155754,0.021882429219796846,0.018460485555795693,0.007870470427202651,0.01466032706577336,0.011022260644045817,,0.02186441898998631,1.801022981053238e-05,1.801022981053238e-05,0.007564296520423601,0.019595130033859234,0.02154023485339673
BW_17__TRA.csv,,0.015504461308063076,0.015366028617812512,0.01629730307949812,0.03813191376901876,,0.023143428851889605,0.007462780483507633,0.006959388882596494,0.013742590704874089,,1.258479002277847e-05,0.02831577755125156,0.013805514654987982,0.01652382929990813,0.02071456437749336,0.009224651086696619,6.292395011389235e-05,0.015504461308063076,0.03535067517398472,0.013176275153849058,0.018738752343917142,0.021935289009702874,0.05922402184719548,0.002252677414077346,0.011062030430022275,0.021822025899497867,0.0819521526283334,0.007626382753803753,0.012106568001912888,0.026277041567561447,0.007941002504373214,0.022010797749839543,0.04108933942437171,0.024389323064144673,0.008003926454487107,0.029725274033802745,0.022438680610614013,0.015013654497174714,0.026616830898176465,0.0003020349605466833,0.01093618252979449,0.020928505807880596,0.043568543058859065,0.01062156277922503,0.005600231560136419,,0.03381533079120575,0.01984621386592165,0.017971080152527654,0.007802569814122652,0.011829702621411762,0.008595411585557695,,0.020941090597903375,,2.516958004555694e-05,0.00739985653339374,0.011338895810523402,0.018952693774304377
BW_9__TRA.csv,,0.02409839715048976,0.01708593054318789,0.007680320569902048,0.027493321460373997,,0.060273820124666075,0.01129786286731968,0.02226179875333927,0.01341273374888691,,,0.020035618878005344,0.01797640249332146,0.018087711487088157,0.02075912733748887,0.004118432769367765,0.00027827248441674086,0.021204363312555655,0.023263579697239536,0.03701024042742654,0.016807658058771147,0.01497105966162066,0.015138023152270703,0.002838379341050757,0.014748441674087266,0.043410507569011575,0.027604630454140695,0.00823686553873553,0.014470169189670526,0.025768032056990204,0.006066340160284951,0.019534728406055208,0.013913624220837044,0.0167520035618878,0.007068121104185218,0.020647818343722174,0.010463045414069456,0.017586821015138022,0.023207925200356187,0.00016696349065004453,0.00946126447016919,0.0289959928762244,0.03272484416740873,0.018477292965271595,0.03294746215494212,,0.026658504007123777,0.0626113089937667,0.015304986642920747,0.005064559216384684,0.012911843276936777,0.009294300979519145,,0.02676981300089047,,,0.010796972395369546,0.02254007123775601,0.019701691896705252
BW_5__TRA.csv,,0.01838892981163843,0.010338840366200147,0.006353256866252762,0.018770388298432073,,0.03673839840050511,0.008984005051036515,0.01794170262022519,0.006103335788698306,,,0.05449594864779543,0.022256129643270547,0.019809533831421658,0.014600652425549827,0.006313795643481006,6.576870461959382e-05,0.008747237714405977,0.011733136904135535,0.02420288330001052,0.017783857729138167,0.011496369567504999,0.01657371356413764,0.0024729032936967273,0.01094391244870041,0.031082289803220035,0.020493528359465434,0.0071293275807639694,0.014258655161527939,0.039816373776702094,0.009391771019677997,0.016613174786909397,0.017704935283594653,0.025886562138272125,0.014482268757234558,0.0327396611596338,0.013679890560875513,0.01867831211196464,0.02158528885615069,0.0007629169735872882,0.008365779227612334,0.050010522992739136,0.026531095443544143,0.019809533831421658,0.018428391034410185,,0.07601546879932652,0.025755024729032936,0.04545932863306324,0.008997158791960433,0.010851836262232979,0.012614437546038092,,0.02326896769441229,1.3153740923918762e-05,0.0001052299273913501,0.005695569820056824,0.016008102704409135,0.02265074187098811
BW_6__TRA.csv,,0.022538452902211743,0.014988211519029977,0.007213427641181093,0.02761872684405524,,0.07407095542831481,0.009795666329852924,0.016700348040866734,0.011788480970023578,,,0.023520826316380375,0.016700348040866734,0.019142247670371617,0.01743011114853486,0.005417087683844167,5.613562366677894e-05,0.0247838778488829,0.01801953519703604,0.04482429549792298,0.014875940271696418,0.01538116088469743,0.013612888739193892,0.0026103065005052208,0.017626585831368585,0.0402492421690805,0.029920287414393173,0.007185359829347704,0.012013023464690693,0.024980352531716626,0.00581003704951162,0.022089367912877512,0.01058156506118783,0.01959133265970585,0.006932749522847199,0.023492758504546987,0.010385090378354103,0.016784551476366903,0.016447737734366228,0.0005894240485011788,0.00740990232401482,0.029358931177725384,0.026524082182553047,0.01681261928820029,0.032025373301897385,,0.028292354328056584,0.07510946446615022,0.01420231278769507,0.005922308296845178,0.014595262153362524,0.009767598518019536,,0.026046929381385427,,2.806781183338947e-05,0.009093971034018189,0.017233636465701134,0.021808689794543618
