,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
DDY__IGL.csv,,0.0771513353115727,,0.028825773632895294,0.016320474777448073,0.000635862653666808,0.10470538363713437,,0.010809665112335736,0.08266214497668503,0.18058499364137345,0.002967359050445104,0.02373887240356083,,,,,0.08880881729546418,0.038787621873675286,0.024374735057227637,0.002755404832556168,,0.001271725307333616,0.048749470114455275,,0.08711318355235269,,0.10512929207291224,,0.003391267486222976,,,0.00317931326833404,,,0.0211954217888936,0.0023314963967782957,0.01420093259855871,,0.000847816871555744,0.013988978380669776,,0.000423908435777872,0.008690122933446376,,0.00635862653666808,
GH03_HJ625__IGL.csv,0.0008928571428571428,0.05850840336134454,0.0003151260504201681,0.04642857142857143,0.014548319327731093,0.0002100840336134454,0.49149159663865544,,0.009243697478991597,0.047163865546218486,0.09910714285714285,0.004411764705882353,0.04831932773109244,,,,0.0002626050420168067,0.07542016806722689,0.009506302521008403,0.004884453781512605,0.0001050420168067227,,0.0007878151260504202,0.009978991596638655,,0.0266281512605042,,0.019432773109243698,,0.0012605042016806723,,5.252100840336135e-05,0.0008928571428571428,,0.0017857142857142857,0.010346638655462185,0.0007878151260504202,0.00782563025210084,0.0001050420168067227,0.0003676470588235294,0.004569327731092437,,0.001207983193277311,0.0022058823529411764,0.0002100840336134454,0.0006302521008403362,0.0001050420168067227
GH03_W_HNY1228__IGL.csv,0.00470994583562289,0.08689850066724232,0.000313996389041526,0.0802260774001099,0.04631446738362509,,0.178192950781066,,0.001255985556166104,0.057775335583640786,0.12512756103304812,0.006515425072611665,0.041526022450741815,,,,0.0013344846534264856,0.08038307559463066,0.04654996467540623,0.011774864589057226,7.84990972603815e-05,,0.0020409765287699192,0.031713635293194126,,0.01350184472878562,0.000156998194520763,0.07787110448229845,,0.005651935002747468,,0.0002354972917811445,0.005102441321924798,0.0002354972917811445,0.009027396184943873,0.009184394379464635,0.0024334720150718265,0.00887039799042311,0.000470994583562289,0.003296962084936023,0.030614647931548788,0.0003924954863019075,0.003296962084936023,0.002354972917811445,0.021273255357563386,0.00313996389041526,0.000156998194520763
GH03_W_LXZ1225__IGL.csv,0.00496313441026987,0.08967047650862583,0.0008590040325467083,0.047292944236321556,0.0328569042449116,7.158366937889236e-05,0.13920637571881936,,0.013386146173852871,0.049512037987067214,0.15521725643656495,0.0035553222458183206,0.038488152902717794,2.3861223126297455e-05,,,0.003030375337039777,0.05631248657806199,0.04354673220549286,0.018707198931017206,0.0004533632393996516,,0.0037462120308287003,0.050180152234603544,,0.09074423154930922,0.00042950201627335415,0.05950989047698585,,0.004271158939607244,,0.00023861223126297453,0.008375289317330406,0.0005965305781574364,0.0030542365601660742,0.022859051754992962,0.0030065141139134794,0.008327566871077812,0.0006203918012837338,0.0022190937507456632,0.02744040659524207,,0.0024338447588823403,0.001622563172588227,0.008041232193562241,0.00496313441026987,0.00016702856188408218
GH03_W_ZXM1225__IGL.csv,0.006570302233902759,0.09242225142356549,0.0011118973011220055,0.062165167290003036,0.06061524983995418,0.00010108157282927322,0.14818558576771454,,0.031705920010782034,0.049833215404831696,0.10643889618922471,0.002998753327268439,0.035007918056538294,3.369385760975774e-05,,,0.0023922638902927995,0.04686815593517302,0.028976717544391656,0.009905994137268776,0.00013477543043903097,3.369385760975774e-05,0.0022911823174635265,0.06607365477273493,3.369385760975774e-05,0.08126958455473567,0.00013477543043903097,0.05623504835068567,,0.004076956770780686,3.369385760975774e-05,0.0001684692880487887,0.004076956770780686,0.0005054078641463662,0.01088311600795175,0.014286195626537282,0.004413895346878264,0.008187607399171131,0.00023585700326830418,0.002055325314195222,0.03059402270966003,,0.001954243741365949,0.003099834900097712,0.02062064085717174,0.003099834900097712,0.0001684692880487887
BW_1__IGL.csv,0.004632152588555858,0.08596730245231608,0.0021798365122615805,0.06267029972752043,0.04073569482288828,0.00040871934604904634,0.1310626702997275,,0.006130790190735695,0.02656675749318801,0.12166212534059946,0.0034059945504087193,0.029155313351498638,,,,0.003542234332425068,0.024931880108991826,0.03010899182561308,0.01103542234332425,0.0009536784741144414,,0.0038147138964577656,0.1108991825613079,,0.10013623978201634,0.0008174386920980927,0.06566757493188011,,0.004223433242506812,,0.00013623978201634878,0.0028610354223433244,0.0010899182561307902,0.002997275204359673,0.022479564032697547,0.007493188010899182,0.013487738419618528,0.0010899182561307902,0.0019073569482288828,0.018528610354223433,0.00013623978201634878,0.021798365122615803,0.012942779291553134,0.01634877384196185,0.005722070844686649,0.00027247956403269756
BW_2__IGL.csv,0.004702129422487365,0.14251387853177563,0.00024857071836937607,0.0892576021211368,0.05309056259839258,0.00016571381224625073,0.12782749192145165,,0.00200927997348579,0.041759880686055184,0.11498467147236723,0.0114342530449913,0.03044991300024857,,,,0.0008699975142928163,0.05963625818211948,0.027011351396138868,0.009093545447013008,6.214267959234402e-05,,0.0019885657469550086,0.03633275333499047,,0.04432844477587207,0.00047642721020797085,0.04515701383710332,,0.003169276659209545,,0.00022785649183859475,0.0035007042837020465,0.0002692849449001574,0.003003562846963294,0.03747203579418344,0.0027549921285939184,0.007042837020465656,0.00018642803877703205,0.006649266716380811,0.07411550252713564,2.071422653078134e-05,0.004598558289833458,0.008554975557212694,0.0002071422653078134,0.004784986328610489,4.142845306156268e-05
BW_4__IGL.csv,0.01335584681604916,0.09985744536559035,0.0001522428134471925,0.07415609040455068,0.053534109310340056,0.00011072204614341273,0.1470388772784521,,0.002242121434404108,0.04017826249429089,0.05343722751996457,0.005411540005259298,0.03925096535783981,,,,0.0005812907422529168,0.03061464575865362,0.04291863313634036,0.023237789434348746,0.00012456230191133932,,0.0013978658325605857,0.03702268417920363,,0.10597483841501391,0.00013840255767926592,0.10622396301883659,,0.013286645537209528,,9.688179037548614e-05,0.010061865943282632,0.0001660830692151191,0.0030725367804797033,0.016165418736938258,0.0015085878787039985,0.0038475911034835924,,0.0015085878787039985,0.052274646035458734,,0.005411540005259298,0.0035431054765892073,0.010504754127856283,0.001522428134471925,6.920127883963296e-05
BW_9__IGL.csv,0.004962243797195253,0.1809061488673139,0.0002157497303128371,0.0918554476806904,0.0325782092772384,0.0003775620280474649,0.040884573894282634,,0.011596548004314994,0.039050701186623515,0.16909385113268607,0.0025889967637540453,0.04277238403451996,,,5.393743257820928e-05,0.0007011866235167206,0.023570658036677454,0.05102481121898598,0.0025889967637540453,0.0005393743257820927,,0.0023732470334412083,0.0482200647249191,,0.046548004314994604,0.002912621359223301,0.07928802588996764,,0.0337108953613808,,0.00010787486515641856,0.0025889967637540453,0.00026968716289104636,0.011434735706580367,0.02535059331175836,0.0012944983818770227,0.003667745415318231,0.002103559870550162,0.0018878101402373248,0.03284789644012945,,0.002696871628910464,0.0040453074433656954,0.0010787486515641855,0.002103559870550162,0.00010787486515641856
BW_CT0530__IGL.csv,0.0020461105630457817,0.0983959954693266,0.00021922613175490518,0.09141729694179546,0.050714311812634735,0.00018268844312908765,0.10007672914611422,,0.05345463845957105,0.03712229164383061,0.11323029705140852,0.01702656289963097,0.03485695494902993,,,,0.0010230552815228909,0.07840987979100442,0.03745113084146297,0.01600350761810808,0.0002557638203807227,,0.0024480251379297747,0.0366838393803208,,0.07051773904782783,0.0001461507545032701,0.06763126164638825,,0.010267090503854727,,7.307537725163506e-05,0.0040191457488399284,0.0005115276407614454,0.0048229748986079145,0.013628557857429939,0.00577295480287917,0.007380613102415141,3.653768862581753e-05,0.0009865175928970734,0.01673426139062443,3.653768862581753e-05,0.006759472395776243,0.006576783952647156,0.005517190982498447,0.007563301545544229,
